Geopolitical entity (reporting),All taxes and levies included,Excluding VAT and other recoverable taxes and levies,Excluding taxes and levies
Albania,,,
Austria,,,
Belgium,0.1363,0.1286,0.1266
Bosnia and Herz.,,,
Bulgaria,,,
Croatia,,,
Czech Rep.,0.1904,0.1574,0.1573
Denmark,,,
EU27,,,
Estonia,,,
Euro area,,,
France,,,
Georgia,,,
Germany,,,
Greece,,,
Hungary,,,
Ireland,,,
Italy,,,
Latvia,,,
Liechtenstein,,,
Lithuania,,,
Luxembourg,,,
Moldova,,,
Netherlands,,,
North Macedonia,,,
Poland,,,
Portugal,,,
Romania,,,
Serbia,,,
Slovakia,,,
Slovenia,,,
Spain,,,
Sweden,0.2751,0.2201,0.1924
Turkey,,,
