Geopolitical entity (reporting),2021-S1,2021-S2,2022-S1,2022-S2,Pct_change
Albania,11.4,11.4,11.4,11.4,0.0
Austria,0.2216,0.2285,0.2249,0.237,3.7199124726476933
Belgium,0.2702,0.2994,0.3437,0.4489,49.93319973279894
Bosnia and Herz.,0.1711,0.1698,0.1735,0.1746,2.826855123674911
Bulgaria,0.2002,0.2133,0.2138,0.2243,5.157055789967187
Croatia,0.9744,0.986,1.0212,1.1145,13.032454361054773
Cyprus,0.1976,0.2304,0.2607,0.3261,41.536458333333336
Czech Rep.,4.66,4.79,6.0269,4.2145,-12.014613778705636
Denmark,2.1568,2.5641,3.3921,4.3677,70.34047034047036
Estonia,0.1324,0.1939,0.2056,0.265,36.6683857658587
Finland,0.1767,0.184,0.1934,0.2278,23.80434782608696
France,0.1946,0.2022,0.2092,0.2204,9.000989119683494
Germany,0.3193,0.3234,0.3279,0.3357,3.8033395176252247
Greece,0.168,0.1974,0.2101,0.2438,23.505572441742654
Hungary,35.8789,35.963,35.5604,44.1198,22.68108889692183
Iceland,20.5434,20.6247,21.6328,22.1591,7.439623364218622
Ireland,0.2555,0.2974,0.2324,0.3225,8.439811701412243
Italy,0.2259,0.236,0.3115,0.3641,54.279661016949156
Kosovo,0.0605,0.0607,0.0611,0.0637,4.942339373970362
Latvia,0.1403,0.1886,0.1759,0.2992,58.64262990455994
Liechtenstein,0.2267,0.2266,0.2271,0.2267,0.04413062665490589
Lithuania,0.1348,0.1477,0.1497,0.2429,64.45497630331755
Luxembourg,0.1988,0.1989,0.2017,0.2042,2.664655605832076
Malta,0.1285,0.1318,0.1298,0.1277,-3.1107738998482493
Moldova,1.8113,1.8271,2.3682,4.4001,140.82425701932027
Montenegro,0.098,0.0974,0.0961,0.0982,0.8213552361396254
Netherlands,0.1281,0.1449,0.0451,0.135,-6.832298136645957
North Macedonia,5.1836,5.179,5.7963,6.3435,22.485035721181685
Norway,1.8583,2.2396,1.9909,2.3536,5.090194677621018
Poland,0.7026,0.7226,0.6787,0.7597,5.134237475781902
Portugal,0.2089,0.217,0.2199,0.2222,2.3963133640553043
Romania,0.7531,0.7913,1.1683,1.6774,111.98028560596487
Serbia,9.2971,9.5378,9.5041,10.2021,6.964918534672555
Slovakia,0.1668,0.1624,0.1796,0.1884,16.009852216748786
Slovenia,0.1662,0.1711,0.139,0.1956,14.319111630625361
Spain,0.2323,0.2816,0.3071,0.335,18.963068181818183
Sweden,2.1419,2.6465,2.3871,2.9533,11.59266956357453
