Geopolitical entity (reporting),2021-S1,2021-S2,2022-S1,2022-S2,Pct_change
Albania,12.81,12.81,12.81,12.81,0.0
Austria,0.1228,0.1278,0.1617,0.1786,39.74960876369328
Belgium,0.1218,0.1439,0.1943,0.2367,64.48922863099375
Bosnia and Herz.,0.1461,0.1415,0.1449,0.1746,23.392226148409907
Bulgaria,0.1882,0.3058,0.3396,0.3508,14.715500327011114
Croatia,0.7738,0.8574,1.1716,1.8015,110.11196641007697
Cyprus,0.1515,0.1946,0.2471,0.3162,62.48715313463514
Czech Rep.,2.2834,2.3019,3.8777,4.5056,95.73395890351452
Denmark,0.5929,0.8655,1.197,1.6943,95.75967648757941
Estonia,0.0957,0.1526,0.1625,0.2586,69.46264744429881
Finland,0.0676,0.08,0.0808,0.115,43.75000000000001
France,0.1057,0.1018,0.1273,0.1267,24.45972495088409
Germany,0.1813,0.186,0.2132,0.2056,10.537634408602154
Greece,0.1174,0.2238,0.231,0.2457,9.785522788203755
Hungary,32.9151,37.0675,56.0667,91.2021,146.0432993862548
Iceland,8.0699,10.77,10.6881,11.45,6.313834726090992
Ireland,0.1512,0.1881,0.2176,0.2876,52.89739500265818
Italy,0.1584,0.1853,0.2525,0.3372,81.97517539125742
Kosovo,0.0673,0.0676,0.067,0.0676,0.0
Latvia,0.1012,0.1351,0.125,0.2157,59.659511472982985
Liechtenstein,0.1095,0.1193,0.145,0.1524,27.745180217937975
Lithuania,0.1046,0.1396,0.1803,0.3297,136.17478510028653
Luxembourg,0.0954,0.0974,0.1294,0.1512,55.23613963039015
Malta,0.1345,0.1401,0.1347,0.1395,-0.42826552462526013
Moldova,1.3484,1.3165,1.5367,2.9297,122.53703000379794
Montenegro,0.0867,0.0665,0.085,0.0859,29.172932330827066
Netherlands,0.1128,0.1238,0.1722,0.1802,45.557350565428116
North Macedonia,4.6381,7.5476,10.3909,19.7924,162.23435264189942
Norway,0.8249,1.2182,1.4641,2.1778,78.77195862748317
Poland,0.4953,0.5067,0.721,0.8062,59.10795342411683
Portugal,0.1066,0.1186,0.1202,0.1359,14.586846543001682
Romania,0.486,0.6386,1.1607,1.7571,175.14876291888507
Serbia,9.3517,10.2649,11.3333,13.7546,33.996434451382854
Slovakia,0.1275,0.1345,0.216,0.2429,80.59479553903344
Slovenia,0.092,0.0999,0.1585,0.1968,96.996996996997
Spain,0.1074,0.1459,0.1879,0.2202,50.92529129540782
Sweden,0.7198,0.9976,1.1745,1.644,64.7955092221331
