Geopolitical entity (reporting),2007 June,2007 December,2008 June,2008 December,2009 June,2009 December,2010 June,2010 December,2011 June,2011 December,2012 June,2012 December,2013 June,2013 December,2014 June,2014 December,2015 June,2015 December,2016 June,2016 December,2017 June,2017 December,2018 June,2018 December,2019 June,2019 December,2020 June,2020 December,2021 June,2021 December,2022 June,2022 December,2023 June,2023 December
Albania,,,,,,,,,,,,,,,,,,,,,,,,,0.104,,0.1037,0.1036,0.1039,0.1053,0.1057,0.1097,0.1135,0.1223
Austria,,0.094,0.1064,0.1072,0.1184,0.1162,0.1127,0.1128,0.1126,0.1128,0.1102,0.1116,0.1114,0.1108,0.1089,0.1055,0.1039,0.1047,0.1026,0.1004,0.093,0.0997,0.0997,0.1012,0.1076,0.1088,0.1191,0.1184,0.1228,0.1278,0.1617,0.1786,0.2597,0.2471
Belgium,,0.0949,0.1069,0.0961,0.1111,0.1079,0.1057,0.1054,0.1098,0.1147,0.1076,0.1107,0.1078,0.1099,0.1094,0.1086,0.11,0.1081,0.1115,0.1158,0.1104,0.1087,0.1095,0.1142,0.115,0.1152,0.1171,0.1185,0.1218,0.1439,0.1943,0.2367,0.2269,0.2164
Bosnia and Herz.,,,,,,,0.0622,0.0616,0.0613,0.0644,0.0646,0.0655,0.0653,0.0655,0.0652,0.0621,0.0625,0.0613,0.0612,0.0607,0.0594,0.0614,0.0661,0.0653,0.0667,0.0698,0.0734,0.073,0.0747,0.0723,0.0741,0.0893,0.091,0.0903
Bulgaria,,0.0568,0.0562,0.0649,0.0649,0.0639,0.0649,0.0664,0.0648,0.0667,0.0694,0.0776,0.0813,0.0726,0.0746,0.0757,0.0692,0.0782,0.1002,0.0788,0.0763,0.079,0.081,0.0846,0.0887,0.0868,0.0816,0.0843,0.0962,0.1564,0.1736,0.1794,0.1492,0.1362
Croatia,0.0666,0.0738,0.0756,0.0947,0.0867,0.0904,0.0939,0.0904,0.0907,0.0893,0.0899,0.094,0.0949,0.0944,0.0956,0.0918,0.092,0.0928,0.0903,0.0877,0.0874,0.092,0.0994,0.1013,0.1034,0.1055,0.1043,0.1023,0.1025,0.1142,0.1554,0.2391,0.2925,0.2332
Cyprus,,0.1391,0.1427,0.1807,0.1186,0.1494,0.1505,0.173,0.1674,0.2109,0.2239,0.2342,0.2077,0.2013,0.1748,0.1903,0.1393,0.1412,0.1048,0.1295,0.1414,0.1392,0.1405,0.1811,0.1619,0.18,0.1448,0.1364,0.1515,0.1946,0.2471,0.3162,0.2762,0.2759
Czech Rep.,,0.0946,0.1107,0.1121,0.1069,0.1122,0.1033,0.1081,0.1108,0.1082,0.1039,0.1029,0.1023,0.099,0.0829,0.0819,0.0772,0.0783,0.073,0.0732,0.0688,0.071,0.0733,0.0721,0.0768,0.0784,0.0846,0.0842,0.0883,0.0905,0.1573,0.184,0.1974,0.1798
Denmark,,0.0895,0.0913,0.1018,0.0863,0.092,0.0942,0.0961,0.0992,0.0927,0.0966,0.0993,0.1027,0.0998,0.0939,0.0972,0.0899,0.0899,0.0948,0.0936,0.0845,0.0846,0.0807,0.0788,0.0707,0.0681,0.0612,0.0686,0.0797,0.1164,0.1609,0.2278,0.1339,0.117
EU27,0.0879,0.0857,0.0968,0.1007,0.1047,0.1011,0.1035,0.1042,0.1106,0.1113,0.1146,0.1144,0.119,0.117,0.1215,0.1181,0.1172,0.1144,0.1131,0.1113,0.1132,0.1117,0.1129,0.1128,0.1215,0.119,0.1253,0.1251,0.1285,0.1442,0.1833,0.2104,0.2151,0.2008
Estonia,,0.053,0.0567,0.0601,0.0643,0.0645,0.0694,0.0727,0.0718,0.0751,0.0784,0.0818,0.0974,0.097,0.0916,0.0931,0.0889,0.0958,0.0878,0.0896,0.087,0.0846,0.0865,0.0924,0.0917,0.0915,0.0823,0.0873,0.0957,0.1526,0.1625,0.2586,0.1567,0.157
Euro area,0.0925,0.0862,0.0992,0.1026,0.1089,0.1038,0.1062,0.1068,0.1142,0.1161,0.1205,0.1201,0.1254,0.124,0.1308,0.127,0.1261,0.1229,0.1217,0.1195,0.1223,0.1203,0.1213,0.1208,0.1299,0.1286,0.1348,0.135,0.1381,0.1536,0.1912,0.2148,0.2232,0.2088
Finland,0.0577,0.0586,0.064,0.0674,0.0689,0.0683,0.0693,0.0683,0.0756,0.075,0.0755,0.0744,0.0749,0.0749,0.0734,0.0722,0.0707,0.0706,0.0685,0.0694,0.0667,0.0676,0.0681,0.0707,0.0709,0.0721,0.0695,0.0759,0.0676,0.08,0.0808,0.115,0.0957,0.0885
France,,0.0574,0.0651,0.0617,0.0725,0.0648,0.0778,0.0716,0.0849,0.0808,0.0949,0.0795,0.0968,0.0855,0.0986,0.0938,0.1027,0.0951,0.0962,0.0903,0.0978,0.092,0.0982,0.0889,0.1024,0.095,0.1057,0.0954,0.1057,0.1018,0.1273,0.1267,0.2529,0.2133
Georgia,,,,,,,,,,,,,,,,,,,,,,,0.0489,0.0564,0.0595,0.0475,0.0505,0.0435,0.0713,0.0657,,0.0951,0.0928,0.0897
Germany,0.0957,0.1013,0.1053,0.1078,0.1132,0.1134,0.112,0.119,0.1248,0.1243,0.1277,0.1297,0.1425,0.1444,0.1586,0.152,0.1509,0.1493,0.1505,0.1492,0.1519,0.1514,0.1499,0.1516,0.1557,0.1608,0.1781,0.1818,0.1813,0.186,0.2132,0.2056,0.2192,0.2175
Greece,,0.0789,0.0861,0.092,0.0948,0.0936,0.0946,0.1026,0.1046,0.1111,0.1183,0.1222,0.1248,0.1239,0.1336,0.1298,0.1292,0.115,0.1173,0.1115,0.1073,0.119,0.1038,0.105,0.1074,0.1084,0.1076,0.1059,0.1174,0.2238,0.231,0.2457,0.1902,0.1832
Hungary,,0.1128,0.1142,0.1218,0.1241,0.1297,0.106,0.1053,0.0998,0.0995,0.0948,0.0999,0.0963,0.098,0.0914,0.0899,0.0867,0.087,0.0805,0.0796,0.0772,0.0779,0.084,0.0822,0.097,0.0954,0.0995,0.094,0.0921,0.1032,0.1652,0.2249,0.3075,0.2695
Iceland,,,,,,,,,,,,,,,,,,,0.0736,0.0652,0.0795,,0.0769,0.04,0.0579,0.0581,0.0732,0.0721,0.0532,0.0724,0.0756,0.08,0.0783,0.0804
Ireland,,0.1235,0.1302,0.1419,0.1206,0.1175,0.1123,0.1131,0.1155,0.1294,0.1317,0.1396,0.1364,0.1372,0.1365,0.1357,0.1417,0.1357,0.1327,0.1245,0.1237,0.1241,0.1321,0.1349,0.1351,0.1328,0.1326,0.1339,0.1512,0.1881,0.2176,0.2876,0.2829,0.2579
Italy,,,0.1385,0.15,0.1531,0.137,0.1389,0.1443,0.1523,0.166,0.1648,0.1778,0.168,0.1718,0.172,0.1735,0.1608,0.1597,0.1526,0.1556,0.1477,0.1449,0.1423,0.1434,0.1647,0.1616,0.1503,0.1514,0.1584,0.1853,0.2525,0.3372,0.2443,0.2284
Kosovo,,,,,,,,,,,,,0.0696,0.0726,0.0703,0.0793,0.0763,0.0809,0.075,0.0771,0.0798,0.0758,0.0746,0.0733,0.066,0.0679,0.0672,0.0679,0.0673,0.0676,0.067,0.0676,0.073,0.0785
Latvia,,0.0595,0.066,0.0797,0.0896,0.0893,0.089,0.0907,0.0984,0.1101,0.1103,0.111,0.1125,0.1152,0.1171,0.1183,0.1178,0.1183,0.1165,0.1201,0.1179,0.1159,0.1039,0.1047,0.1052,0.107,0.103,0.1055,0.1012,0.1351,0.125,0.2157,0.1465,0.1508
Liechtenstein,,,,,,,,,,,,,,,0.1384,0.1399,0.1631,0.1612,0.1463,0.1479,0.1296,0.0773,0.0868,0.0892,0.0957,0.098,0.1021,0.1034,0.1,0.1117,0.1405,0.1558,0.3255,0.254
Lithuania,,0.0744,0.0829,0.0838,0.0924,0.079,0.0995,0.1046,0.1049,0.1038,0.1139,0.1144,0.1231,0.1227,0.1168,0.1171,0.0989,0.0997,0.094,0.0882,0.0837,0.0825,0.0838,0.0899,0.0926,0.0945,0.0943,0.1026,0.1046,0.1396,0.1803,0.3297,0.1668,0.1619
Luxembourg,0.1033,0.0976,0.0976,0.0979,0.1157,0.1158,0.1017,0.1024,0.1003,0.1,0.105,0.1013,0.0983,0.1001,0.1007,0.0987,0.0928,0.0893,0.0873,0.0858,0.078,0.0803,0.0833,0.0846,0.0897,0.0904,0.0928,0.0938,0.0954,0.0974,0.1294,0.1512,0.2485,0.2342
Malta,,0.1221,0.1221,0.1619,0.1506,0.1291,0.172,0.181,0.178,0.18,0.179,0.181,0.179,0.178,0.177,0.178,0.1599,0.1405,0.1422,0.1399,0.1351,0.1364,0.1346,0.1352,0.1345,0.1355,0.1343,0.1342,0.1345,0.1401,0.1347,0.1348,0.1413,0.1351
Moldova,,,,,,,,,,,,,,,,,0.0707,0.0765,0.0827,0.0778,0.0828,0.0852,0.088,0.0787,0.0771,0.0787,0.0795,0.0718,0.0633,0.064,0.0761,0.1495,0.1465,0.1098
