Geopolitical entity (reporting),EUR,PPS
Austria,0.1477,0.1316
Belgium,0.0994,0.0888
Bosnia and Herz.,0.0514,0.093
Bulgaria,0.0703,0.1166
Croatia,0.0457,0.0679
Czech Rep.,0.1125,0.1381
Denmark,0.122,0.0918
EU27,0.1125,0.1124
Estonia,0.0791,0.0881
Euro area,0.1218,0.1155
France,0.1181,0.1087
Germany,0.1145,0.1023
Greece,0.0926,0.1129
Hungary,0.0335,0.0507
Ireland,0.1638,0.1378
Italy,0.1347,0.1404
Latvia,0.0901,0.1125
Lithuania,0.1454,0.1932
Luxembourg,0.085,0.0651
Netherlands,0.15,0.1281
North Macedonia,0.0914,0.1924
Poland,0.073,0.1131
Portugal,0.1374,0.163
Romania,0.0558,0.1004
Serbia,0.0489,0.0837
Slovakia,0.0611,0.077
Slovenia,0.1107,0.1304
Spain,0.101,0.1083
Sweden,0.207,0.1785
Turkey,0.0161,0.0648
