Geopolitical entity (reporting),2007 June,2007 December,2008 June,2008 December,2009 June,2009 December,2010 June,2010 December,2011 June,2011 December,2012 June,2012 December,2013 June,2013 December,2014 June,2014 December,2015 June,2015 December,2016 June,2016 December,2017 June,2017 December,2018 June,2018 December,2019 June,2019 December,2020 June,2020 December,2021 June,2021 December,2022 June,2022 December
Austria,,0.061,0.0586,0.0616,0.0649,0.062,0.0622,0.0602,0.0694,0.0721,0.0758,0.0763,0.0767,0.0754,0.0748,0.073,0.073,0.0711,0.069,0.0674,0.0674,0.0698,0.0669,0.0701,0.066,0.0674,0.0648,0.0656,0.0636,0.0695,0.0767,0.1235
Belgium,,0.05,0.0585,0.0729,0.0605,0.0516,0.0529,0.0604,0.0634,0.0731,0.0689,0.0734,0.0659,0.0668,0.0658,0.065,0.0584,0.0621,0.0547,0.0534,0.0522,0.0552,0.0536,0.0625,0.0554,0.0573,0.0496,0.0498,0.0468,0.0676,0.0943,0.1363
Bosnia and Herz.,,,,,,,0.0377,0.0447,0.0452,0.0536,0.0555,0.0555,0.0555,0.0512,0.0512,0.0512,0.0514,0.0514,0.0391,0.0336,0.0307,0.0327,0.0326,0.0326,0.0335,0.0333,0.0374,0.0346,0.0321,0.0364,0.0438,0.0655
Bulgaria,,0.0323,0.0354,0.0391,0.0473,0.0348,0.0368,0.0431,0.043,0.0472,0.0494,0.0556,0.0513,0.0518,0.0491,0.0484,0.0477,0.0391,0.0368,0.0311,0.033,0.0375,0.0379,0.0437,0.0449,0.0442,0.0396,0.0348,0.0368,0.0708,0.0764,0.1173
Croatia,0.0295,0.0274,0.0273,0.0277,0.0319,0.0328,0.0383,0.038,0.0375,0.0372,0.0383,0.0472,0.0465,0.0468,0.0464,0.0475,0.0473,0.0459,0.0428,0.037,0.0359,0.0366,0.0368,0.036,0.0375,0.0406,0.0389,0.0377,0.0374,0.0398,0.0412,0.045
Czech Rep.,,0.0362,0.0439,0.0529,0.0495,0.0472,0.0469,0.0517,0.0544,0.0595,0.0659,0.0661,0.0641,0.0575,0.0548,0.0563,0.0574,0.0583,0.0583,0.0563,0.055,0.0566,0.0575,0.0569,0.0586,0.0588,0.0573,0.0558,0.0562,0.0554,0.101,0.1904
Denmark,0.0815,0.0885,0.0959,0.0979,0.0803,0.0851,0.0954,0.0965,0.1031,0.1029,0.098,0.0955,0.0993,0.0977,0.0908,0.0878,0.092,0.0881,0.0833,0.0858,0.0888,0.0875,0.0872,0.0913,0.0855,0.0771,0.075,0.0747,0.0895,0.1247,0.1509,0.2084
EU27,0.0672,0.0565,0.0582,0.0667,0.0632,0.0558,0.0562,0.062,0.0605,0.0688,0.0657,0.0739,0.0692,0.0746,0.0686,0.0741,0.0672,0.0725,0.0643,0.0675,0.0615,0.0676,0.0627,0.0711,0.067,0.0722,0.0642,0.0695,0.0638,0.0782,0.0861,0.1137
Estonia,,0.0263,0.0335,0.0371,0.0395,0.0363,0.0362,0.0401,0.0419,0.0437,0.05,0.0518,0.0524,0.0476,0.0491,0.0494,0.0456,0.0384,0.0346,0.0328,0.0418,0.0413,0.0401,0.0425,0.0458,0.0446,0.0441,0.0411,0.0435,0.075,0.1106,0.1089
Euro area,0.0676,0.0593,0.0608,0.0698,0.0664,0.0576,0.0577,0.0639,0.0624,0.0718,0.0686,0.0774,0.0724,0.0787,0.0725,0.079,0.0708,0.0769,0.068,0.0715,0.0649,0.0718,0.0661,0.0757,0.0709,0.0772,0.0686,0.0751,0.0684,0.0839,0.0908,0.1138
France,,0.0515,0.0521,0.0578,0.055,0.0583,0.0521,0.0575,0.058,0.0646,0.0635,0.0682,0.0678,0.0729,0.0701,0.0762,0.0701,0.0733,0.065,0.0676,0.0639,0.0695,0.0665,0.0763,0.0738,0.0839,0.072,0.0751,0.0691,0.0788,0.0859,0.1008
Georgia,,,,,,,,,,,,,,,,,,,,,,,0.0151,0.0151,0.0151,0.0143,0.0139,0.0125,0.0117,0.0139,0.0151,0.018
Germany,,0.0613,0.0641,0.0762,0.0648,0.0589,0.0565,0.0571,0.0588,0.064,0.0637,0.0648,0.0661,0.0689,0.0678,0.0681,0.0676,0.0681,0.0661,0.0642,0.0611,0.0609,0.0608,0.0608,0.0632,0.0588,0.0597,0.062,0.0647,0.0692,0.0806,0.0941
Greece,,,,,,,,,,,,0.1017,0.0772,0.0888,0.0723,0.0798,0.0681,0.075,0.0564,0.0652,0.056,,0.0532,0.0654,0.0555,0.0587,0.0483,0.0517,0.0449,0.1014,0.0821,0.1599
