Geopolitical entity (reporting),All taxes and levies included,Excluding VAT and other recoverable taxes and levies,Excluding taxes and levies,Share of taxes and levies (%)
Austria,0.062,0.0516,0.0516,0.0
Belgium,0.0565,0.0467,0.0449,3.854389721627401
Bosnia and Herz.,0.0622,0.0532,0.0532,0.0
Bulgaria,0.0475,0.0396,0.0388,2.020202020202025
Croatia,0.0557,0.0531,0.0524,1.3182674199623337
Czech Rep.,0.0772,0.0638,0.0624,2.194357366771158
Denmark,0.0958,0.051,0.0416,18.431372549019606
EU27,0.072,0.0616,0.053,13.961038961038966
Estonia,0.0629,0.0515,0.0478,7.184466019417466
Euro area,0.071,0.0615,0.0518,15.772357723577239
Finland,0.1062,0.0856,0.0645,24.64953271028037
France,0.0827,0.07,0.0581,17.00000000000001
Georgia,0.0347,0.0294,0.0294,0.0
Germany,0.0771,0.0678,0.0556,17.994100294985255
Greece,0.0433,0.0409,0.0376,8.068459657701705
Hungary,0.082,0.0645,0.0604,6.356589147286821
Italy,0.061,0.0556,0.0523,5.935251798561147
Latvia,0.0672,0.0555,0.0538,3.0630630630630633
Liechtenstein,0.1133,0.1048,0.0824,21.37404580152672
Lithuania,0.05,0.0413,0.0398,3.6319612590799064
Luxembourg,0.0803,0.0744,0.0693,6.85483870967741
Moldova,0.0607,0.0564,0.0564,0.0
Netherlands,0.0869,0.0718,0.04,44.289693593314766
North Macedonia,0.0567,0.048,0.048,0.0
Poland,0.0883,0.0718,0.0707,1.532033426183849
Portugal,0.0609,0.0494,0.0469,5.060728744939276
Romania,0.057,0.0479,0.0471,1.6701461377870466
Serbia,0.0568,0.0518,0.0517,0.19305019305018517
Slovakia,0.0851,0.0709,0.0696,1.833568406205937
Slovenia,0.0706,0.0579,0.0531,8.290155440414505
Spain,0.0512,0.0443,0.0424,4.288939051918734
Sweden,0.124,0.0992,0.0682,31.25
Turkey,0.0391,0.0326,0.0315,3.374233128834346
