Geopolitical entity (reporting),2007 June,2007 December,2008 June,2008 December,2009 June,2009 December,2010 June,2010 December,2011 June,2011 December,2012 June,2012 December,2013 June,2013 December,2014 June,2014 December,2015 June,2015 December,2016 June,2016 December,2017 June,2017 December,2018 June,2018 December,2019 June,2019 December,2020 June,2020 December,2021 June,2021 December,2022 June,2022 December
Austria,,,,,0.0337,0.0326,0.0351,0.0352,0.0347,0.037,0.0434,0.0434,0.0437,0.0428,0.0427,0.0401,0.0396,0.0378,0.0358,0.0341,0.0336,0.0332,0.0324,0.034,0.0327,0.031,0.0304,0.0299,0.0312,0.0476,0.0642,0.0842
Belgium,,0.0282,0.0329,0.0388,0.0325,0.0306,0.0285,0.0295,0.0328,0.0332,0.0347,0.0347,0.0398,0.0343,0.0315,0.0293,0.0294,0.0286,0.0257,0.0257,0.0235,0.0229,0.0231,0.0252,0.024,0.0228,0.0209,0.0207,0.0221,0.034,0.0488,0.0636
Bosnia and Herz.,,,,,,,0.042,0.0474,0.0479,0.0545,0.0566,0.0566,0.0566,0.0531,0.0531,0.0531,0.0532,0.0532,0.0425,0.0379,0.0343,0.0358,0.0356,0.0357,0.0367,0.0372,0.0397,0.0375,0.0354,0.0387,0.0456,0.0635
Bulgaria,,0.0181,0.0206,0.0267,0.0315,0.0214,0.024,0.0303,0.0287,0.0318,0.0361,0.0399,0.0358,0.0352,0.0352,0.0341,0.0321,0.0269,0.023,0.0192,0.0218,0.0253,0.0256,0.0289,0.0308,0.0279,0.0231,0.0202,0.0248,0.0508,0.06,0.1182
Croatia,0.0248,0.0231,0.0229,0.0231,0.0264,0.0268,0.034,0.0394,0.0405,0.0432,0.0427,0.0462,0.0457,0.0425,0.0416,0.0401,0.0389,0.0351,0.0327,0.0275,0.0246,0.0247,0.0256,0.0283,0.0299,0.03,0.0279,0.027,0.0294,0.0382,0.0561,0.0819
Czech Rep.,,0.0245,0.0319,0.0394,0.0335,0.0272,0.0308,0.0362,0.0313,0.0345,0.0335,0.0338,0.0336,0.0332,0.0315,0.0304,0.0297,0.0294,0.0262,0.0258,0.0238,0.0245,0.0256,0.0267,0.0293,0.0286,0.0254,0.0252,0.0251,0.0328,0.068,0.0822
Denmark,0.0266,0.0294,0.0323,0.0331,0.029,0.0247,0.0331,0.0386,0.042,0.0415,0.041,0.0425,0.0456,0.044,0.0375,0.037,0.0392,0.0367,0.031,0.0324,0.0333,0.0335,0.0373,0.0384,0.0337,0.0302,0.0262,0.0295,0.0339,0.0792,0.1062,0.1378
EU27,0.0334,0.0316,0.0354,0.0405,0.0371,0.031,0.0321,0.0339,0.0349,0.0366,0.0383,0.0387,0.042,0.0403,0.0397,0.037,0.0369,0.0343,0.032,0.0306,0.03,0.0288,0.0311,0.0316,0.0332,0.0307,0.0303,0.0278,0.0302,0.0416,0.0652,0.0812
Estonia,,0.0181,0.0251,0.0315,0.027,0.023,0.0288,0.0283,0.0279,0.0309,0.0368,0.0358,0.0376,0.0353,0.0353,0.0369,0.036,0.0271,0.0243,0.0234,0.0276,0.0277,0.0306,0.0325,0.0343,0.0333,0.0293,0.0248,0.0317,0.067,0.1014,0.134
Euro area,0.0336,0.0325,0.0364,0.0417,0.0385,0.0315,0.0326,0.0341,0.0356,0.0371,0.0389,0.039,0.043,0.0409,0.0404,0.0374,0.0374,0.0347,0.0327,0.0313,0.0306,0.0292,0.0316,0.0319,0.0335,0.0307,0.0307,0.0282,0.0308,0.0411,0.0636,0.0742
Finland,0.0228,0.0245,0.0284,0.0335,0.0306,0.0288,0.0302,0.0329,0.0418,0.046,0.0473,0.0476,0.0485,0.0468,0.0465,0.0467,0.0446,0.0422,0.0414,0.044,0.0463,0.0532,0.0561,0.0586,0.0627,0.0555,0.0513,0.049,0.06,0.1009,0.137,0.1815
France,,0.0306,0.0332,0.0391,0.036,0.0317,0.0331,0.0349,0.0365,0.0378,0.0389,0.0403,0.0408,0.0388,0.0387,0.0379,0.0377,0.0367,0.0333,0.0378,0.0332,0.0345,0.0353,0.039,0.0379,0.0368,0.034,0.0349,0.0343,0.0504,0.0614,0.0733
Georgia,,,,,,,,,,,,,,,,,,,,,,,0.0213,0.0221,0.023,0.0227,0.0212,0.0178,0.0172,0.0189,0.0239,0.0324
Germany,,0.0388,0.0446,0.0497,0.0431,0.0346,0.0364,0.0399,0.0402,0.0405,0.0374,0.0384,0.0478,0.0479,0.0449,0.0401,0.0395,0.0377,0.0339,0.0332,0.0317,0.0307,0.0317,0.0315,0.0318,0.03,0.0289,0.0289,0.0319,0.0379,0.0533,0.0613
Greece,,,,,,,,,,,,0.0579,0.0534,0.0508,0.0492,0.0467,0.0415,0.036,0.0296,0.0283,0.0283,0.0275,0.0291,0.0335,0.0343,0.0334,0.0258,0.0213,0.0252,0.0499,0.0751,0.1292
