Region/country/area,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Algeria,0.0,0.0,0.0,0.0,-27.00000000000003,0.0,-19.0,-3.0,25.0,0.0,0.0,0.0,13.500000000000028,63.0,239.10000000000002,93.39999999999998,24.799999999999955,0.0,-19.399999999999977,-79.70000000000005,12.0
Angola,0.1599999999999966,0.04999999999998295,260.18,0.19999999999998863,0.17000000000001592,261.87,34.139999999999986,0.5,1.7999999999999545,0.6200000000000045,87.48000000000002,81.20000000000005,68.16000000000008,0.9099999999998545,731.77,692.8399999999999,668.0,334.0,334.0,0.0,284.0
Benin,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19999999999999996,1.0,1.7,0.0,0.0,0.0,0.040000000000000036,0.0,25.0
Botswana,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.12000000000000001,0.03,1.4500000000000002,0.09999999999999987,0.14000000000000012,0.2899999999999998,1.13,0.14000000000000012,0.30000000000000027,2.1999999999999997,0.0,0.34999999999999964,0.0
Burkina Faso,0.0,0.20000000000000284,0.3999999999999986,0.10000000000000142,0.0,0.3999999999999986,0.6999999999999957,0.7000000000000028,0.6000000000000014,2.1999999999999957,0.0,0.6500000000000057,0.6999999999999957,1.75,2.0,36.800000000000004,15.0,3.0900000000000034,0.0,0.0,30.0
Burundi,0.0,0.0,0.0,0.10000000000000142,0.10000000000000142,0.09999999999999432,0.10000000000000142,0.0,0.20000000000000284,0.6999999999999957,0.8100000000000023,1.0,0.20000000000000284,0.29999999999999716,1.0,-1.4699999999999989,0.0,0.0,0.0,7.5,15.0
Cabo Verde,2.1,0.5800000000000001,-0.28000000000000025,0.0,-0.2999999999999998,0.0,0.0,0.0,5.199999999999999,15.2,10.270000000000003,0.0799999999999983,0.1599999999999966,0.3100000000000023,0.04999999999999716,0.07000000000000028,1.9000000000000057,0.03999999999999915,0.0,0.0,0.0
Cameroon,0.0,0.10000000000002274,0.0,0.0,0.0,0.10000000000002274,0.0,0.2999999999999545,4.5,6.600000000000023,0.39999999999997726,4.800000000000068,2.0,1.7999999999999545,1.6000000000000227,2.3999999999999773,2.590000000000032,80.0,0.12999999999999545,0.0,0.0
Cent Afr Rep,0.0,0.0,0.0,0.09999999999999787,0.0,0.0,0.0,0.0,0.0,0.10000000000000142,0.09999999999999787,0.0,0.0,0.0,0.0,0.0,0.0,0.020000000000003126,0.0,0.0,0.0
Chad,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04999999999999982,0.0,0.1200000000000001,1.1,0.0,0.020000000000000018,0.0,0.54,0.0,0.0
Comoros,0.61,0.0,0.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
Congo DR,0.0,5.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.01999999999998181,0.07000000000016371,1.099999999999909,0.22000000000025466,13.159999999999854,14.570000000000164,14.789999999999964,173.5,9.899999999999636,0.0,0.0,0.1000000000003638
Congo Rep,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06999999999999318,120.05,0.11000000000001364,0.22999999999998977,0.0,6.5,13.509999999999991,0.15000000000000568,0.0,0.0,0.0,0.0
Cote d Ivoire,0.020000000000095497,0.01999999999998181,0.05999999999994543,0.009999999999990905,0.01999999999998181,0.19000000000005457,0.7200000000000273,0.30999999999994543,0.14999999999997726,0.12000000000000455,0.3000000000000682,0.9399999999999409,0.9200000000000728,1.2299999999999045,0.0,278.22,4.860000000000014,0.0,0.0,0.0,0.0
Djibouti,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.06,0.0,0.0,0.0,0.0,20.0,0.0
Egypt,0.09999999999990905,0.8000000000001819,76.0,0.0,85.0,80.09999999999991,93.40000000000009,45.40000000000009,128.69999999999982,20.0,0.0,0.0,0.0,201.0,23.0,121.0,991.1999999999998,896.5,243.80000000000018,324.0,64.0
Eq Guinea,0.0,0.0,-0.1200000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.0,0.0,0.0,0.0,0.15000000000000568,0.20000000000000284,1.539999999999992,-0.01999999999999602,-0.010000000000005116,-0.14000000000000057,0.0
Eritrea,0.0,0.0,0.0,0.0,0.0,0.83,0.0,0.0,0.0,0.0,0.020000000000000018,0.010000000000000009,7.819999999999999,0.0,1.1600000000000001,2.34,0.25,0.0,-0.019999999999999574,-0.7799999999999994,0.0
