Region/country/area,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Algeria,276.6,276.6,276.6,276.6,276.6,276.6,249.6,249.6,230.6,227.6,252.6,252.6,252.6,252.6,266.1,329.1,568.2,661.6,686.4,686.4,667.0,587.3,599.3
Angola,235.58,235.61,235.77,235.82,496.0,496.2,496.37,758.24,792.38,792.88,794.68,795.3,882.78,963.98,1032.14,1033.05,1764.82,2457.66,3125.66,3459.66,3793.66,3793.66,4077.66
Benin,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.7,1.7,3.4,3.4,3.4,3.4,3.44,3.44,28.44
Botswana,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.14,0.17,1.62,1.72,1.86,2.15,3.28,3.42,3.72,5.92,5.92,6.27,6.27
Burkina Faso,32.5,32.5,32.5,32.7,33.1,33.2,33.2,33.6,34.3,35.0,35.6,37.8,37.8,38.45,39.15,40.9,42.9,79.7,94.7,97.79,97.79,97.79,127.79
Burundi,54.25,54.25,54.25,54.25,54.25,54.35,54.45,54.55,54.65,54.65,54.85,55.55,56.36,57.36,57.56,57.86,58.86,57.39,57.39,57.39,57.39,64.89,79.89
Cabo Verde,0.0,0.0,2.1,2.68,2.4,2.4,2.1,2.1,2.1,2.1,7.3,22.5,32.77,32.85,33.01,33.32,33.37,33.44,35.34,35.38,35.38,35.38,35.38
Cameroon,719.3,719.3,719.3,719.4,719.4,719.4,719.4,719.5,719.5,719.8,724.3,730.9,731.3,736.1,738.1,739.9,741.5,743.9,746.49,826.49,826.62,826.62,826.62
Cent Afr Rep,18.85,18.85,18.85,18.85,18.85,18.95,18.95,18.95,18.95,18.95,18.95,19.05,19.15,19.15,19.15,19.15,19.15,19.15,19.15,19.17,19.17,19.17,19.17
Chad,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.05,2.05,2.17,3.27,3.27,3.29,3.29,3.83,3.83,3.83
