Region/country/area,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Belgium,,,,,,,,,,31.5,196.5,196.5,381.0,707.7,707.7,712.0,712.2,877.2,1185.9,1555.5,2261.8,2261.8,2261.8,2261.8
China,,,,,,,,1.5,1.5,1.5,100.0,210.0,291.0,417.0,440.0,559.0,1480.0,2788.0,4588.0,5930.0,8990.0,26390.0,30460.0,37290.0
Chinese Taipei,,,,,,,,,,,,,,,,,,8.0,8.0,128.0,128.0,237.2,745.0,1569.0
Denmark,49.95,49.95,213.95,423.35,423.35,423.35,423.35,423.35,423.35,660.85,867.85,871.45,921.85,1271.05,1271.05,1271.05,1271.05,1263.8,1700.8,1700.8,1700.9,2305.7,2305.7,2649.7
Finland,,,,,,,,,24.0,24.0,26.3,26.3,26.3,26.3,26.3,32.0,32.0,72.7,72.7,73.0,73.0,73.0,73.0,73.0
France,,,,,,,,,,,,10.8,10.8,10.8,10.8,10.8,10.8,10.8,12.8,14.3,14.3,14.3,500.8,500.8
Germany,,,,,,,,,,35.0,80.0,188.0,268.0,508.0,994.0,3283.0,4132.0,5406.0,6393.0,7555.0,7787.0,7807.0,8149.0,8407.0
Ireland,,,,,25.2,25.2,25.2,25.2,25.2,25.2,25.2,25.2,25.2,25.2,25.2,25.2,25.2,25.2,25.2,25.2,25.2,25.2,25.2,25.0
Japan,,,,1.2,1.2,1.2,1.2,11.2,11.2,11.2,25.2,25.2,25.3,49.7,49.7,60.0,65.0,65.0,65.0,66.0,59.0,52.0,190.0,190.0
Korea,,,,,,,,,,,,,5.0,5.0,10.5,10.5,40.5,45.5,73.0,73.0,136.0,136.0,136.0,136.0
Netherlands,,,,,,,108.0,108.0,228.0,228.0,228.0,228.0,228.0,228.0,228.0,357.0,957.0,957.0,957.0,957.0,2459.5,2459.5,2569.5,3978.0
Norway,,,,,,,,,,2.3,2.3,2.3,2.3,2.3,2.3,2.3,2.3,2.3,2.3,2.3,2.3,2.3,2.3,2.3
Portugal,,,,,,,,,,,,1.86,2.0,2.0,2.0,2.0,,,,,25.0,25.0,25.0,25.0
Spain,,,,,,,,,,,,,,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,7.0
Sweden,13.0,22.0,22.0,22.0,22.0,22.0,22.0,131.0,133.0,163.0,163.0,163.0,163.0,212.0,213.0,213.0,203.0,203.0,203.0,203.0,203.0,193.0,193.0,193.0
United Kingdom,4.0,4.0,4.0,64.0,124.0,214.0,304.0,394.0,596.2,951.0,1341.0,1838.0,2995.0,3696.0,4501.0,5093.0,5293.0,6988.0,8180.5,9888.1,10382.9,11255.5,13927.5,14732.5
United States,,,,,,,,,,,,,,,0.02,0.02,29.3,29.3,29.3,29.3,29.3,41.3,41.3,41.3
Viet Nam,,,,,,,,,,,,,,16.0,16.0,99.0,99.2,99.2,99.2,99.2,99.2,994.0,994.0,1104.0
