Region/country/area,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Afghanistan,191.5,191.5,191.51,191.62,191.72,192.6,195.65,196.46,207.7,212.9,241.35,244.8,273.25,276.7,280.15,283.6,329.04,348.99,348.99,348.99,348.99,356.61,459.14
Albania,1453.0,1453.0,1453.0,1453.0,1453.0,1453.0,1453.0,1455.0,1457.0,1459.0,1475.0,1508.0,1628.0,1781.0,1725.0,1798.0,1913.0,2047.0,2105.0,2162.0,2387.0,2507.0,2507.0
Algeria,276.6,276.6,276.6,276.6,276.6,276.6,249.6,249.6,230.6,227.6,227.6,227.6,227.6,227.6,227.6,227.6,227.6,228.0,228.0,228.0,208.6,128.9,128.9
American Samoa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Andorra,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,46.0,46.0,46.0,46.0,46.0,46.0,46.0,46.0,46.0,46.0,46.0,46.0,46.0,46.0,46.0
Angola,235.58,235.58,235.58,235.58,495.58,495.58,495.58,755.58,787.58,787.58,787.58,787.58,873.18,953.18,969.18,969.18,1700.44,2393.28,3061.28,3395.28,3729.28,3729.28,3729.28
Anguilla,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Antigua and Barbuda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Argentina,8614.15,8638.5,8787.8,8811.5,8927.9,8950.05,8949.99,9185.89,9192.89,9563.89,9564.86,10095.71,10135.71,10135.6,10138.14,10208.03,10270.0,10272.88,10318.38,10340.38,10374.06,10375.52,10388.75
Armenia,1024.2,1012.5,1165.5,1169.8,1023.7,1026.7,1055.9,1066.3,1079.4,1093.9,1123.2,1148.3,1249.2,1289.0,1298.1,1286.7,1311.6,1326.8,1336.4,1340.0,1350.0,1345.2,1345.2
Aruba,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Australia,6781.0,6781.0,6781.0,6781.0,6855.0,7461.0,7461.0,7461.0,7461.0,7461.0,7461.0,7461.0,7461.0,7461.0,7461.0,7461.0,7461.0,7461.0,7713.0,7713.0,7713.0,7713.0,7713.0
Austria,11613.0,11640.0,11504.0,11545.0,11578.0,11799.04,11825.1,11988.19,12440.95,12630.43,12894.85,13177.39,13308.89,13383.4,13532.25,13649.66,14116.31,14149.95,14516.25,14597.11,14634.5,14747.93,14968.93
Azerbaijan,922.0,933.0,934.0,970.0,970.0,970.0,1025.0,1025.0,1025.0,987.0,995.0,998.0,1023.0,1084.0,1078.0,1103.0,1105.0,1106.4,1130.8,1144.8,1149.4,1157.2,1177.4
Bahamas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bahrain,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bangladesh,230.0,230.0,230.0,230.0,230.0,230.0,230.0,230.0,230.0,230.0,230.0,220.0,220.0,230.0,230.0,230.0,230.0,230.0,230.0,230.0,230.0,230.0,230.0
Barbados,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Belarus,10.19,10.43,11.24,11.24,11.49,11.8,11.85,12.35,12.89,13.33,13.85,14.33,31.6,32.1,32.8,33.5,73.56,95.36,95.36,95.36,96.0,96.0,96.2
Belgium,103.0,111.0,111.0,110.0,115.0,105.0,107.0,110.0,111.0,110.0,118.0,119.0,120.0,119.0,121.0,112.0,109.1,107.0,107.8,104.1,105.8,110.7,111.7
Belize,27.15,27.15,27.15,27.15,27.15,34.45,34.45,37.95,37.95,37.95,37.95,37.95,37.95,37.95,37.95,37.95,37.95,37.95,57.15,56.95,56.95,56.95,56.95
Benin,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
Bermuda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bhutan,344.35,359.46,413.63,428.63,428.63,468.63,468.07,1488.17,1488.17,1488.08,1488.08,1488.08,1488.08,1488.08,1488.08,1614.08,1614.08,1614.08,1614.32,2334.32,2334.32,2334.34,2334.34
Bolivia,364.59,380.23,451.91,451.91,473.21,475.61,493.08,495.3,498.1,498.1,499.9,512.7,512.7,522.3,514.3,523.5,523.5,649.73,727.43,796.43,796.43,796.43,796.43
"Bonaire, Sint Eustatius and Saba",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bosnia and Herzegovina,1508.0,1508.0,1508.0,1508.0,1538.0,1538.0,1538.0,1538.0,1568.6,1568.6,1698.26,1699.96,1700.91,1701.77,1711.07,1716.94,1760.24,1791.0,1815.6,1818.84,1828.79,1836.78,1836.78
Botswana,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Brazil,61063.0,62409.0,64473.0,67697.5,69087.2,71060.2,73678.0,76869.0,77545.0,78610.0,80703.0,82457.0,84294.0,86019.0,89193.82,91650.83,96930.46,100332.81,104482.22,109143.05,109318.36,109426.25,109814.17
British Virgin Islands,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
