Region/country/area,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Afghanistan,0.0,0.01,0.11,0.1,0.88,3.05,0.81,11.24,5.2,28.45,3.45,28.45,3.45,3.45,3.45,45.44,19.95,0.0,0.0,0.0,7.62,102.53,0.0
Albania,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,16.0,33.0,120.0,153.0,-56.0,73.0,115.0,134.0,58.0,57.0,225.0,120.0,-14.0,0.0
Algeria,0.0,0.0,0.0,0.0,0.0,-27.0,0.0,-19.0,-3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,-19.4,-79.7,0.0,0.0
Andorra,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Angola,0.0,0.0,0.0,260.0,0.0,0.0,260.0,32.0,0.0,0.0,0.0,85.6,80.0,16.0,0.0,731.26,692.84,668.0,334.0,334.0,0.0,0.0,0.0
Argentina,24.33,149.34,23.69,116.42,22.1,-0.06,235.9,8.23,371.07,0.94,530.95,38.67,-0.1,2.53,1.53,62.03,72.88,45.5,22.0,33.64,1.51,13.22,0.0
Armenia,-11.7,153.0,4.3,-146.1,3.0,29.2,10.4,13.1,14.5,29.3,25.1,100.9,39.8,9.1,-11.4,24.9,15.2,9.6,3.6,10.0,-4.8,0.0,12.6
Australia,0.0,0.0,0.0,74.0,-1194.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,252.0,0.0,0.0,0.0,0.0,726.96
Austria,27.0,-136.0,40.0,6.0,221.41,26.09,163.09,2.84,-14.52,90.42,41.84,56.5,71.51,49.45,134.64,36.65,12.75,345.3,72.86,-20.62,83.44,141.2,-85.0
Azerbaijan,11.0,1.0,36.0,0.0,0.0,55.0,0.0,0.0,-38.0,8.0,3.0,25.0,61.0,-6.0,25.0,2.0,1.4,24.4,14.0,4.6,7.8,7.5,137.1
Bangladesh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-10.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Belarus,0.24,0.81,0.0,0.25,0.31,0.05,0.5,0.54,0.44,0.52,0.48,17.27,0.5,0.7,0.7,40.06,21.8,0.0,0.0,0.64,0.0,0.2,0.3
Belgium,8.0,0.0,-1.0,5.0,-10.0,2.0,3.0,1.0,-1.0,8.0,1.0,1.0,-1.0,2.0,-9.0,-2.9,-2.1,0.8,-3.7,1.7,4.9,12.6,0.0
Belize,0.0,0.0,0.0,0.0,7.3,0.0,3.5,0.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Benin,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bhutan,15.11,54.17,15.0,0.0,40.0,-0.56,1020.1,0.0,-0.09,0.0,0.0,0.0,0.0,0.0,126.0,0.0,0.0,0.24,720.0,0.0,0.02,0.0,0.0
Bolivia,9.09,84.38,-16.5,23.34,0.0,23.35,1.9,5.69,1.4,-1.91,-0.48,-1.2,-0.5,0.4,1.2,-0.53,118.7,132.41,0.24,0.68,0.0,0.0,0.0
Bosnia and Herzegovina,0.0,0.0,0.0,30.0,0.0,0.0,0.0,30.6,0.0,129.66,1.7,0.95,0.86,9.3,5.87,43.3,30.76,24.6,3.24,9.95,7.99,1.71,0.0
