Region/country/area,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Paraguay,100.0,100.0,100.0,100.0,100.0,99.93,99.93,99.93,99.93,99.93,99.93,99.93,99.93,99.83,99.83,99.83,99.99,99.99,99.99,99.71,99.71,99.71,99.71,99.71
Bhutan,97.41,97.52,97.84,97.91,97.9,98.08,97.87,99.31,99.29,99.39,99.39,99.39,99.39,99.28,99.28,99.34,99.5,99.45,99.45,99.71,99.64,99.65,99.65,99.65
Lesotho,98.43,98.43,98.43,99.34,99.34,99.34,99.32,99.32,99.32,99.32,99.32,99.32,99.34,99.33,99.33,99.33,99.33,99.33,99.33,99.34,99.34,99.31,99.3,99.41
Ethiopia,71.62,69.5,70.98,78.88,78.61,78.6,78.55,82.44,78.08,88.45,93.65,91.67,91.67,92.13,92.15,94.82,96.39,97.78,98.08,97.72,97.84,97.86,98.17,98.24
Norway,99.22,99.21,99.44,99.45,99.37,99.28,99.32,98.01,97.91,96.22,95.43,95.45,95.42,95.54,95.67,95.69,96.98,97.02,97.12,97.22,97.64,97.77,98.22,98.21
Nepal,83.26,87.86,88.03,91.08,91.23,91.29,91.34,91.42,91.55,92.67,92.77,92.88,92.93,93.26,93.39,93.82,93.97,94.82,95.37,95.81,96.2,97.48,97.75,98.13
Democratic Republic of the Congo,99.21,99.22,99.22,99.22,99.22,99.22,99.22,99.22,99.22,99.22,98.81,98.41,98.94,98.86,98.86,98.82,98.82,98.83,98.79,98.8,98.8,98.8,97.51,97.69
Andorra,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,96.24,96.8,96.84,96.89,96.95,97.02,97.02,97.02
Albania,86.64,86.64,86.64,86.64,86.64,86.64,86.64,86.66,100.0,100.0,100.0,100.0,94.38,94.79,94.63,94.83,95.13,95.44,95.56,95.69,96.13,96.31,96.4,96.57
Iceland,89.37,89.79,90.11,90.05,90.58,90.77,91.97,94.99,95.4,95.35,95.31,95.5,95.71,95.88,95.88,95.78,95.78,95.89,96.1,96.11,96.12,95.8,95.8,95.8
Eswatini,91.3,91.3,91.3,91.3,91.3,91.3,91.3,91.3,92.59,92.59,92.59,94.93,94.93,94.93,94.44,94.44,94.45,94.45,94.45,94.45,94.45,94.74,94.74,94.74
Uganda,98.86,98.86,99.01,99.02,99.02,86.41,76.21,76.34,67.9,74.51,73.17,73.23,83.78,88.23,84.98,85.18,85.22,85.79,89.84,91.98,92.2,92.22,92.37,92.37
State of Palestine,,,,,,,,,,,,0.25,0.43,0.43,2.1,6.98,13.51,18.09,20.14,33.93,42.38,52.69,54.57,90.57
Costa Rica,83.86,84.05,82.98,79.6,79.8,79.83,79.86,80.65,73.81,73.61,72.26,76.9,77.53,78.24,79.42,80.69,83.62,83.91,84.35,86.9,86.82,88.2,89.18,89.35
Tajikistan,92.74,92.74,92.74,92.74,92.74,92.83,92.83,92.83,92.83,93.79,93.79,93.8,93.87,93.87,92.26,92.26,87.4,87.4,87.41,88.89,88.89,88.89,88.92,88.92
Tokelau,12.73,12.73,12.73,12.73,12.73,12.73,12.73,12.73,12.73,12.73,12.73,12.73,86.85,86.85,86.85,86.85,87.85,87.85,87.85,88.0,88.0,88.0,88.0,88.0
Zambia,95.43,95.43,95.43,95.28,95.28,95.28,95.28,95.09,95.19,95.21,95.72,95.72,95.73,97.03,94.24,93.08,83.85,82.21,82.37,82.89,82.9,84.43,86.3,86.42
