Region/country/area,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
China,4.5,18.51,10.07,10.0,64.6,19.0,38.8,54.0,161.8,607.0,2086.0,3611.0,11040.0,10640.0,15150.0,34270.0,53013.49,44429.57,29708.94,48993.0,53009.0,86059.0
United States of America,4.89,44.0,38.4,70.8,142.0,205.0,340.0,179.0,469.2,1295.0,2261.5,2969.5,4632.5,4866.63,6124.72,11196.82,8336.17,8217.15,9600.24,14853.87,18949.81,17624.14
India,4.66,1.17,1.18,-0.28,5.63,-1.96,17.35,2.62,11.64,25.73,500.45,416.27,617.24,2173.18,1920.98,4285.11,8274.71,9227.84,7765.48,4181.75,10298.85,13462.07
Brazil,0.04,0.0,0.68,0.0,0.0,0.0,0.0,0.04,0.05,0.04,5.25,0.51,5.92,8.17,24.87,82.22,1079.0,1228.23,2199.92,3655.56,5906.55,9881.81
Germany,81.0,65.0,175.0,670.0,951.0,843.0,1271.0,1950.0,4446.0,7440.0,7910.0,8161.0,2633.0,1190.0,1324.0,1455.0,1614.0,2865.0,3756.0,4757.0,5702.0,7291.0
Japan,123.0,184.0,223.0,272.0,290.0,286.0,211.0,225.0,483.0,991.0,1296.0,1718.0,6967.0,9740.0,10811.0,7890.0,7460.0,6662.0,7030.0,8676.0,6545.0,4642.0
Spain,3.0,4.0,5.0,11.0,19.0,89.0,364.0,2940.0,260.0,900.0,827.0,1137.0,425.06,7.0,7.0,9.0,10.0,40.61,4043.54,1328.39,3579.61,4498.33
Netherlands,8.0,5.0,20.0,4.0,1.0,2.0,1.0,5.0,10.0,21.0,59.0,138.0,363.0,357.0,519.26,608.76,775.87,1697.11,2618.0,3882.43,3802.26,3938.0
Australia,4.0,5.0,5.4,7.0,6.0,9.0,11.6,12.0,247.0,759.0,1382.0,1326.0,769.0,719.0,659.0,743.0,602.0,4074.0,4782.0,4691.0,4919.0,3922.0
Poland,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.11,0.19,1.09,24.76,80.63,79.47,99.84,274.89,977.28,2415.7,3460.56,3751.0
Republic of Korea,1.0,0.0,1.0,3.0,5.0,22.0,45.0,276.0,167.0,126.0,80.2,294.0,531.0,1065.0,1225.0,1037.0,1553.0,2485.8,3796.0,4606.0,3941.0,2814.14
France,0.0,1.0,1.0,2.0,2.0,2.0,11.0,54.0,197.0,767.0,1959.57,1355.18,918.54,757.13,1103.1,564.56,908.36,1061.86,1144.57,1248.11,2754.4,2600.0
Italy,1.0,2.0,4.0,5.0,3.0,11.0,65.0,373.0,781.0,2332.72,9539.0,3654.0,1400.35,410.0,307.0,382.0,399.29,425.3,757.68,784.77,944.22,2482.3
Chinese Taipei,0.1,0.13,0.12,0.12,0.47,0.37,1.03,3.14,3.93,25.05,95.35,101.37,178.66,226.01,248.3,360.81,522.64,970.42,1411.42,1667.66,1883.01,2023.54
Viet Nam,0.11,0.13,0.17,0.34,1.13,1.54,0.0,0.0,0.1,1.0,0.0,0.0,0.0,0.77,0.0,0.0,2.7,97.0,4889.5,11667.0,0.0,1814.0
Chile,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,13.0,206.0,355.0,549.0,684.0,328.0,516.7,551.74,1262.84,1782.16
Türkiye,0.2,0.3,0.4,0.5,0.5,0.5,0.5,0.7,1.0,1.0,1.0,5.0,7.0,22.3,209.0,584.0,2587.7,1641.91,932.55,672.26,1148.21,1609.8
Denmark,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,2.0,10.0,385.0,169.0,36.0,175.11,68.84,55.4,91.65,82.0,224.29,399.75,1418.0
Greece,1.0,0.0,0.0,0.0,0.0,4.0,4.0,3.0,34.0,156.0,410.0,924.0,1043.0,17.0,8.0,0.0,1.53,46.04,182.22,453.93,989.7,1280.0
Mexico,1.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,6.15,4.66,12.59,30.4,36.2,65.34,112.66,345.6,493.14,1457.06,2161.28,1967.49,1468.35,1176.24
Sweden,0.0,0.0,1.0,0.0,0.0,1.0,1.0,2.0,1.0,2.0,1.0,12.0,19.0,17.0,44.0,49.0,91.0,184.0,286.0,393.0,499.0,1000.0
Portugal,0.0,0.0,1.0,0.0,0.0,1.0,21.0,35.0,56.0,19.0,38.0,66.0,58.0,119.0,32.0,65.82,66.42,88.19,234.01,198.85,545.7,890.0
Belgium,0.0,1.0,0.0,0.0,1.0,0.0,18.0,42.0,324.0,620.6,972.0,668.0,255.0,113.4,116.6,197.2,291.8,379.4,636.6,936.2,439.6,886.0
Israel,0.0,0.0,0.0,0.0,1.0,0.3,0.5,7.2,21.6,45.4,119.8,90.3,160.0,210.0,140.0,110.0,100.0,340.0,792.0,513.9,939.0,820.0
Qatar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.67,0.0,1.62,1.68,0.0,1.13,0.0,0.0,0.0,0.0,0.0,800.0
Canada,2.0,1.0,2.0,2.0,4.0,4.0,7.0,9.0,69.0,142.0,379.0,138.0,444.0,633.0,676.0,146.0,267.0,163.0,232.0,282.0,945.0,771.8
Austria,2.0,2.0,14.0,4.0,-5.98,1.37,1.85,5.88,18.8,39.89,85.26,163.41,288.49,159.28,151.85,158.92,172.95,186.16,246.96,340.84,739.67,765.0
United Kingdom,1.0,1.0,2.0,2.0,3.0,3.0,4.0,5.0,4.0,68.0,905.0,753.0,1184.0,2591.0,4073.0,2313.0,846.0,299.0,286.0,234.0,386.0,695.0
Switzerland,2.0,2.0,2.0,2.0,4.0,2.0,7.0,12.0,30.0,46.0,98.0,214.0,319.0,305.0,333.0,270.0,242.0,267.0,325.0,475.0,682.0,684.92
Bulgaria,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.07,1.9,23.0,129.0,767.99,116.55,-9.62,-1.03,1.99,0.82,2.36,11.33,55.82,174.5,673.65
United Arab Emirates,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.08,0.75,1.92,0.46,112.59,4.67,1.06,3.88,218.06,246.42,1335.34,397.37,669.78,585.25
Oman,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.0,1.5,0.01,6.0,17.58,0.45,102.85,26.0,500.0
Jordan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.03,0.07,0.1,5.32,281.03,110.0,303.03,486.05,262.71,72.2,393.8
Czechia,0.0,0.1,0.1,0.1,0.19,0.25,3.12,35.54,425.1,1262.4,186.0,109.0,41.5,3.9,7.5,-7.0,7.54,5.61,29.62,61.29,74.13,380.99
Lithuania,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.2,6.7,61.0,1.0,0.0,1.0,3.75,8.25,21.0,61.0,91.0,313.0
Colombia,0.39,0.04,0.04,0.02,0.03,0.04,0.02,0.05,0.02,0.02,0.04,0.01,0.06,0.04,0.04,0.06,9.8,2.06,12.54,59.59,118.42,287.52
Angola,0.1,0.0,0.0,-0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.03,0.3,0.0,0.0,0.1,0.01,0.93,0.01,0.07,284.0
Lebanon,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33,0.14,-0.18,1.57,2.9,6.22,13.0,12.73,18.21,21.16,13.76,100.0,250.0
Philippines,0.0,0.0,0.0,2.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.03,24.69,144.81,611.63,124.12,8.42,63.32,75.88,319.19,247.76
Slovenia,0.0,-1.0,0.0,0.0,0.05,0.14,0.4,0.41,3.0,8.0,45.0,85.0,45.0,36.0,15.0,-5.0,13.8,0.0,31.08,91.9,91.38,171.0
Pakistan,0.22,0.0,0.0,-0.22,0.0,0.0,0.14,1.0,5.53,2.61,9.35,27.15,54.88,64.7,100.15,324.01,65.67,25.07,75.01,98.3,223.04,166.0
Finland,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,2.0,6.0,22.0,43.0,58.0,82.0,96.0,107.0,165.6
Dominican Republic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,2.92,5.43,7.94,10.3,49.37,32.62,92.4,126.56,74.51,214.13,161.2
