Region/country/area,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Afghanistan,0.0,0.01,0.11,0.1,0.88,3.05,0.81,11.24,5.2,28.55,3.47,44.55,4.17,4.97,4.02,46.71,22.39,-0.22,9.51,-0.57,7.78,104.55,0.0
Albania,0.1,0.1,0.0,0.0,0.0,0.0,2.0,2.0,2.1,16.1,33.16,120.12,153.08,-55.89,73.18,114.95,135.43,58.0,70.0,232.0,122.0,-14.0,139.99
Algeria,0.0,0.0,0.0,0.0,0.0,-27.0,0.0,-19.0,-3.0,25.0,0.0,0.0,0.0,13.5,32.8,200.0,93.4,11.8,0.0,-19.4,-79.7,84.7,0.0
American Samoa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.42,0.0,0.0,0.0,1.5,0.35,0.89,-0.35,0.0,0.0,0.0,0.0
Andorra,0.0,0.0,0.0,0.0,0.0,5.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.19,0.04,0.01,0.25,0.6,0.9,1.09,1.27,0.0,0.0
Angola,0.0,0.0,0.0,260.0,0.0,0.0,260.0,32.0,0.0,0.0,0.0,85.6,80.02,67.3,0.0,731.27,692.93,668.02,334.92,334.01,0.07,284.02,25.0
Anguilla,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.0,1.11,0.0,1.1,0.0,-1.1,0.37,0.0,0.0,0.0,0.0
Antigua and Barbuda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.2,0.0,0.1,0.0,3.0,0.11,0.8,4.4,0.0,4.15,2.0,0.0,0.72
Argentina,17.5,165.51,47.6,115.77,28.27,5.37,262.35,6.03,378.15,13.4,538.01,153.54,58.4,3.49,30.52,62.03,120.11,766.73,1152.55,1437.41,1012.09,70.88,701.8
Armenia,-11.7,153.0,4.3,-146.1,5.64,29.2,10.4,14.4,14.5,29.3,25.1,100.9,38.5,9.1,-11.44,26.22,16.6,24.52,7.38,39.4,90.8,89.1,179.08
Aruba,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.1,0.2,0.7,0.6,5.3,1.2,1.15,0.05,7.5,0.0,0.0,0.0,0.0,0.0
Australia,200.0,42.0,133.3,340.0,1034.1,155.9,457.6,149.0,546.0,923.0,1646.0,1761.0,1419.0,1302.0,1045.0,924.0,1685.0,5327.0,6254.0,7024.0,5267.0,4207.94,5223.96
Austria,35.0,-97.0,463.0,303.0,1060.58,400.87,441.97,484.48,290.22,316.59,531.09,-51.81,536.16,647.14,633.44,863.31,260.27,779.29,397.94,382.05,954.09,1379.74,3223.0
Azerbaijan,11.0,1.0,36.0,0.0,0.0,55.0,0.1,0.0,-36.0,8.2,3.7,25.0,98.7,-4.6,33.75,29.8,9.9,83.2,12.2,6.6,20.25,8.8,363.2
Bahamas,0.0,0.92,0.0,0.0,0.0,0.0,0.1,0.0,0.1,0.11,0.41,0.2,0.42,0.66,0.36,0.15,0.0,0.05,1.39,0.44,5.1,1.05,0.07
Bahrain,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.68,0.0,0.0,0.0,0.0,0.0,5.0,0.0,1.0,0.0,0.3,3.4,0.4,11.23,26.26,11.03
Bangladesh,0.0,0.04,0.57,0.78,1.08,2.39,2.63,5.5,7.89,14.74,48.58,24.32,38.61,28.12,28.42,-30.32,51.24,23.71,39.25,63.96,162.45,18.28,243.44
Barbados,0.1,0.0,0.0,0.0,0.1,0.0,0.4,0.0,0.2,0.2,0.25,0.25,-1.07,0.86,1.8,11.87,1.46,0.85,15.96,15.94,14.78,6.51,0.0
Belarus,0.59,1.31,0.0,0.25,0.31,3.55,3.7,8.64,0.44,0.52,5.38,20.27,18.9,6.7,15.7,125.46,77.9,89.7,24.9,76.14,0.7,136.4,4.0
Belgium,45.0,22.5,107.5,50.5,330.5,90.5,109.5,204.0,818.5,1041.1,1145.5,921.4,635.1,227.85,386.15,326.95,724.25,880.3,1211.05,1762.4,615.35,1164.25,1994.15
Belize,0.0,0.0,0.0,0.0,7.3,0.0,3.5,0.0,27.5,0.0,0.0,0.49,0.0,0.0,0.01,0.0,8.01,19.48,5.56,0.0,0.0,0.0,0.0
Benin,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,1.0,1.7,0.0,0.0,0.0,0.04,0.0,25.0,0.0
Bhutan,15.11,54.17,15.0,0.0,40.13,-0.42,1020.1,0.0,-0.09,0.0,0.0,0.0,0.0,0.0,126.6,0.0,0.0,0.24,720.0,0.0,0.2,0.0,0.89
Bolivia,9.18,89.46,-16.32,53.64,0.03,23.61,27.86,6.05,6.82,-1.64,-44.6,-0.1,0.81,17.94,65.58,38.47,107.1,150.91,5.63,115.98,149.62,50.09,67.42
"Bonaire, Sint Eustatius and Saba",0.0,0.0,0.0,0.0,0.0,0.0,0.33,0.0,9.9,0.0,0.0,0.0,0.9,0.0,0.3,1.95,2.26,1.13,1.0,0.0,0.0,0.0,1.13
Bosnia and Herzegovina,0.0,0.0,0.1,30.1,0.1,0.0,0.0,30.6,0.0,129.66,2.0,1.0,1.85,15.12,6.88,50.25,32.64,77.69,44.41,22.39,85.71,47.69,30.0
Botswana,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.12,0.03,1.45,0.1,0.14,0.29,1.13,0.14,0.3,2.2,0.0,0.35,0.0,0.0
Brazil,1352.33,2070.61,3252.98,1817.85,2193.32,3187.8,3603.0,1778.02,1932.03,4628.02,3359.52,3199.79,3717.78,6610.23,6200.12,8732.56,7047.16,8187.3,8044.93,6027.37,10798.08,15226.29,17375.42
British Virgin Islands,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.52,0.0,0.0,0.0,0.03,0.71,0.16,0.0,0.01,0.35,0.25,0.01,0.0,1.01
Brunei Darussalam,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2,0.0,0.0,0.0,0.01,0.0,0.0,0.01,0.0,0.0,0.23,3.42,0.03,0.14
Bulgaria,-175.0,243.0,522.0,334.0,7.0,18.0,31.03,192.07,240.9,226.0,243.0,980.0,165.0,28.0,13.0,9.0,143.64,27.77,2.32,44.79,168.12,483.66,1200.0
Burkina Faso,0.0,0.0,0.0,0.11,0.0,0.0,0.0,0.0,0.0,0.1,0.06,0.56,0.66,0.48,4.28,0.41,35.09,15.45,1.73,0.49,0.78,30.6,91.61
Burundi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.41,0.0,0.0,0.3,0.8,-2.07,0.5,0.0,0.2,6.9,14.9,0.0
Cabo Verde,0.0,2.1,0.58,-0.28,0.0,-0.3,0.0,0.0,0.0,5.2,15.2,10.27,0.0,0.0,0.39,0.1,0.16,4.19,3.36,0.81,2.21,5.85,3.0
Cambodia,0.09,2.1,0.05,1.03,0.24,4.56,0.96,1.26,1.14,0.03,198.16,46.16,451.26,257.38,2.07,4.1,83.25,360.83,95.24,184.82,60.46,440.1,119.82
Cameroon,0.0,0.0,0.1,0.0,0.0,0.0,0.1,0.0,0.3,4.5,6.6,0.4,4.8,2.0,1.8,1.6,2.35,2.55,80.0,0.12,0.0,1.48,36.0
Canada,-281.0,2309.6,1616.31,547.06,1260.63,1621.0,1076.16,1455.47,1279.5,1266.39,2177.59,1145.48,2227.31,2742.56,6103.9,1871.38,1154.8,1480.25,512.01,808.58,2999.7,2148.22,2176.64
Cayman Islands,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.75,6.02,1.95,1.27,1.65,0.96,0.0,0.3
Central African Republic (the),0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,25.0
Chad,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.12,1.1,0.02,0.37,0.0,0.5,0.05,0.48,0.0
Chile,-1.0,28.0,21.78,823.0,21.0,6.0,144.0,127.22,483.76,55.2,538.2,355.0,531.86,686.04,140.3,759.94,1112.85,710.35,515.0,1502.81,1977.52,3194.0,2876.31
China,3414.5,3986.51,9132.07,10622.0,12009.6,13829.0,17863.8,27633.75,30889.75,28024.46,34640.85,34203.22,57414.79,55134.68,64452.91,61912.27,79840.02,74607.48,63406.6,137542.19,121439.76,138274.76,297574.76
Chinese Taipei,94.45,113.88,-20.58,14.44,28.75,89.91,101.69,84.25,126.82,167.15,201.0,192.73,221.85,249.02,264.47,396.21,532.95,995.41,1540.67,1767.6,1992.05,2576.03,3784.47
