Region/country/area,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Afghanistan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Albania,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Algeria,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
American Samoa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Andorra,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Angola,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,42.0,155.0,200.0,200.0,200.0,200.0,200.0,200.0
Anguilla,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Antigua and Barbuda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Argentina,594.81,571.81,738.81,839.81,928.81,983.81,927.81,1006.81,1062.81,1082.81,1151.82,1148.82,1183.82,1224.81,1161.85,1369.41,1388.32,1564.84,1535.91,1825.71,2489.12,2507.34,2516.66
Armenia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aruba,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Australia,1134.0,1345.0,1583.0,1583.0,1799.0,3830.0,3911.0,3953.0,4596.0,2815.0,2777.0,2102.0,3043.0,3152.0,3511.0,3608.0,3722.0,3501.0,3518.0,3496.0,3351.0,3347.0,3190.0
Austria,1497.0,1634.0,1484.0,1571.0,1779.0,2294.58,3023.54,3837.18,3954.34,4062.39,4266.84,4348.1,4439.51,4440.88,4216.7,4345.45,4449.66,4605.32,4593.99,4297.75,4263.31,4125.17,4336.35
Azerbaijan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bahamas,0.0,0.0,6.48,6.48,6.48,6.48,6.48,6.48,6.48,6.48,6.48,6.48,6.48,6.48,6.48,6.48,6.48,6.48,6.48,6.48,6.48,6.48,6.48
Bahrain,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bangladesh,41.95,33.2,69.4,60.25,40.48,35.95,45.0,55.63,55.33,27.16,21.22,34.96,24.62,37.7,45.2,29.81,23.43,43.43,30.93,34.98,35.11,31.99,11.69
Barbados,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Belarus,0.0,0.0,0.0,0.0,0.0,0.0,2.4,13.92,33.4,60.08,84.35,95.6,94.15,120.37,120.97,140.05,147.2,163.0,174.0,303.66,578.0,580.8,518.8
Belgium,262.0,300.0,408.0,551.0,745.0,1264.0,1906.0,2303.0,2959.0,3486.0,3813.4,3922.8,4497.9,4254.8,3593.0,4643.2,4495.5,4790.2,4503.2,4309.5,4358.6,3754.3,3926.8
Belize,16.6,15.41,17.26,16.4,17.86,13.94,17.6,18.0,14.7,15.14,77.74,94.01,93.25,77.32,96.75,121.38,114.97,119.92,136.52,163.15,270.24,133.1,173.59
Benin,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bhutan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bolivia,16.0,16.0,17.2,16.9,52.72,51.2,51.2,74.4,99.52,119.87,118.36,101.73,114.66,135.7,125.76,201.99,176.19,166.36,168.47,216.97,326.62,454.8,527.65
"Bonaire, Sint Eustatius and Saba",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bosnia and Herzegovina,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.65,6.0,8.0,8.0,13.0,42.0,31.0
Botswana,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Brazil,7855.36,9022.41,10271.15,11939.46,12515.06,13643.08,14845.67,18063.45,19786.27,22875.87,31942.38,32629.04,35765.67,40971.85,47079.19,49741.46,51334.7,52912.1,54382.24,54920.84,58741.85,55724.24,55033.22
British Virgin Islands,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Brunei Darussalam,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
