Region/country/area,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Afghanistan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Albania,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Algeria,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
American Samoa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Andorra,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Angola,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,6.0,113.0,45.0,0.0,0.0,0.0,0.0,0.0
Anguilla,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Antigua and Barbuda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Argentina,-23.0,167.0,101.0,89.0,55.0,-56.0,79.0,56.0,20.0,69.01,-3.0,35.0,40.99,-62.96,207.56,18.91,176.52,-28.93,289.8,663.41,18.22,9.32
Armenia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aruba,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Australia,211.0,238.0,0.0,216.0,2031.0,81.0,42.0,643.0,-1781.0,-38.0,-675.0,941.0,109.0,359.0,97.0,114.0,-221.0,17.0,-22.0,-145.0,-4.0,-157.0
Austria,137.0,-150.0,87.0,208.0,515.58,728.96,813.64,117.16,108.05,204.45,81.26,91.41,1.37,-224.18,128.75,104.21,155.66,-11.33,-296.24,-34.44,-138.14,211.18
Azerbaijan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bahamas,0.0,6.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bahrain,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bangladesh,-8.75,36.2,-9.15,-19.77,-4.53,9.05,10.63,-0.3,-28.17,-5.94,13.74,-10.34,13.08,7.5,-15.39,-6.38,20.0,-12.5,4.05,0.13,-3.12,-20.3
Barbados,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Belarus,0.0,0.0,0.0,0.0,0.0,2.4,11.52,19.48,26.68,24.27,11.25,-1.45,26.22,0.6,19.08,7.15,15.8,11.0,129.66,274.34,2.8,-62.0
Belgium,38.0,108.0,143.0,194.0,519.0,642.0,397.0,656.0,527.0,327.4,109.4,575.1,-243.1,-661.8,1050.2,-147.7,294.7,-287.0,-193.7,49.1,-604.3,172.5
Belize,-1.19,1.85,-0.86,1.46,-3.92,3.66,0.4,-3.3,0.44,62.6,16.27,-0.76,-15.93,19.43,24.63,-6.41,4.95,16.6,26.63,107.09,-137.14,40.49
Benin,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bhutan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bolivia,0.0,1.2,-0.3,35.82,-1.52,0.0,23.2,25.12,20.35,-1.51,-16.63,12.93,21.04,-9.94,76.23,-25.8,-9.83,2.11,48.5,109.65,128.18,72.85
"Bonaire, Sint Eustatius and Saba",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bosnia and Herzegovina,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.65,5.35,2.0,0.0,5.0,29.0,-11.0
Botswana,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Brazil,1167.05,1248.74,1668.31,575.6,1128.02,1202.59,3217.78,1722.82,3089.6,9066.51,686.66,3136.63,5206.18,6107.34,2662.27,1593.24,1577.4,1470.14,538.6,3821.01,-3017.61,-691.02
British Virgin Islands,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Brunei Darussalam,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bulgaria,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,-8.0,27.43,20.57,10.0,44.4,89.6,72.0,81.0,42.98,1096.35,284.18,-78.67,891.06,-345.31
Burkina Faso,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.1,0.15,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Burundi,0.22,0.08,-0.21,0.09,0.09,-0.31,1.56,-0.7,1.09,-1.26,1.04,-0.03,1.18,-1.05,-0.02,0.83,-0.04,-0.92,-0.24,0.12,0.0,0.0
Cabo Verde,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
