Region/country/area,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Argentina,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0,,,,,,,,,,,,,
Australia,0.0,0.0,0.0,0.0,0.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
Austria,,,0.0,-0.99,0.32,0.76,-0.65,-0.79,-0.11,-0.11,-0.35,-0.37,-0.37,0.07,-0.32,-0.04,0.07,0.15,-0.04,-0.13,-0.04,-0.03
Chile,,,,,,,,,,,,,,,,,,150.3,-12.1,14.0,108.0,141.39
China,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Costa Rica,48.78,134.68,23.29,61.36,-57.9,67.18,23.64,-107.67,54.95,-9.73,103.46,123.01,114.19,21.4,-162.51,-36.11,-221.69,-149.26,544.01,176.59,-87.44,16.96
Croatia,,,,,,,,,,,,,,,,,,,89.9,1.8,-4.0,-17.0
El Salvador,180.16,26.73,32.96,-14.98,39.41,89.93,241.22,137.48,4.8,1.19,9.25,1.0,24.24,-1.98,-17.95,35.83,-6.4,-23.84,-71.28,83.05,2.05,22.18
Ethiopia,-6.0,-15.0,-4.0,,,,,,,9.74,-5.61,-10.02,,,,,,,,,,
France,,,,,,,,,,,,-5.73,33.64,-7.04,8.83,5.67,35.52,-6.15,1.51,4.71,-32.89,13.29
Germany,,,,,,,,,1.0,9.0,-9.0,6.0,55.0,18.0,35.0,42.0,-12.0,15.0,19.0,34.0,13.0,-38.0
Guadeloupe,-1.78,-2.74,6.27,6.07,66.09,-17.22,16.68,-5.45,-39.76,-34.9,41.25,-5.32,30.79,-5.94,7.42,1.25,28.12,-5.41,2.68,5.6,-31.04,12.41
Guatemala,-8.5,-63.69,65.03,-0.79,-47.99,-3.71,90.69,38.76,7.96,-20.63,-22.23,8.55,-33.28,34.25,4.94,37.6,-36.09,-3.3,12.39,11.72,-8.89,17.02
Honduras,,,,,,,,,,,,,,,,,,204.48,-1.15,11.07,41.21,-11.01
Hungary,,,,,,,,,,,,,,,,,,11.0,6.0,-2.0,-4.0,-8.0
Iceland,128.0,-18.0,-27.0,77.48,174.52,973.27,947.28,459.11,515.43,-87.77,236.14,508.08,35.48,-6.61,-235.41,64.28,102.32,840.23,8.31,-57.54,-158.95,114.45
Indonesia,666.0,410.0,-456.0,376.0,310.0,54.0,363.0,1288.0,986.0,62.0,14.0,46.0,-3.0,624.0,10.0,608.0,2108.0,1255.0,81.0,1463.0,336.0,778.0
Italy,-198.0,155.0,679.0,96.27,-112.81,202.91,41.76,-48.81,-178.5,34.1,278.34,-62.57,67.54,257.1,268.64,103.6,-87.41,-95.77,-30.53,-48.75,-112.32,-76.87
Japan,84.0,-58.0,110.0,-110.0,-148.0,-145.0,-38.0,-293.0,136.0,-254.0,44.0,-67.0,-6.0,17.0,-25.0,-94.0,-44.0,67.0,323.0,145.0,16.0,-28.0
Kenya,48.5,-21.5,154.0,324.5,107.5,11.0,30.5,83.5,143.28,90.2,101.33,100.09,327.15,1300.04,1275.01,207.83,181.23,298.28,215.42,1.02,-261.32,201.04
Mexico,-334.0,-169.0,884.0,295.0,722.0,-614.0,719.0,-348.0,-316.0,-122.0,-111.0,-690.0,253.0,-70.0,331.0,-183.0,861.0,-1634.0,-24.0,-31.0,-957.0,173.0
New Zealand,-84.0,-24.0,-64.0,39.0,370.0,209.0,187.0,649.0,661.0,1027.0,345.0,211.0,388.0,791.0,587.0,-12.0,44.0,-53.0,68.0,43.0,143.0,97.0
Nicaragua,71.92,4.19,60.43,-15.86,15.92,40.24,-67.77,78.91,-25.62,5.59,-29.27,250.48,156.04,-17.35,15.73,27.82,45.3,50.54,-23.27,-10.82,-33.28,-46.86
Papua New Guinea,,,,0.0,60.0,0.0,178.96,84.57,26.47,-30.4,-30.4,-30.4,-30.4,-30.4,-30.4,-30.4,-30.4,-30.4,-30.4,0.0,0.0,0.0
Philippines,-1184.0,-199.51,-420.05,459.11,-379.11,562.84,-250.59,508.09,-398.93,-394.7,13.18,307.66,-645.39,703.51,735.58,26.71,-800.32,165.23,255.49,66.02,-740.82,409.0
Portugal,25.0,-9.0,-6.0,-5.77,-13.32,14.31,115.77,-9.34,-7.71,13.16,13.32,-63.96,50.12,8.8,-1.81,-31.99,45.08,13.73,-15.03,1.81,-38.62,16.02
Romania,,,,,,,,,,,,,,,-0.04,0.0,,,,,,
Russia,33.0,65.0,168.0,79.0,7.0,53.0,22.0,-20.0,-1.0,41.0,17.0,-45.0,-33.0,11.0,1.54,-10.62,-10.92,-8.7,6.4,-11.3,8.3,19.1
Thailand,-0.5,-0.06,0.17,-0.35,0.19,0.27,0.12,-0.54,0.11,0.23,0.18,-0.95,0.38,0.18,-0.08,0.04,0.16,-0.06,-0.24,-0.15,0.35,0.04
Türkiye,14.0,15.0,-16.0,4.0,1.0,0.01,61.94,6.49,273.3,232.47,26.14,204.99,464.19,1000.45,1061.02,1393.52,1308.96,1303.5,1520.76,1075.96,765.53,325.57
United States,-375.0,693.0,-69.0,617.0,1291.0,-197.0,217.0,75.0,173.0,531.0,263.0,295.0,287.0,288.0,17.0,-143.0,142.0,47.0,-409.0,467.0,246.0,65.0
