Region/country/area,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Belgium,,,,,,,,,,82.0,190.0,709.0,854.0,1540.0,2216.2,2613.2,2390.1,2870.4,3411.1,4794.1,6973.7,6926.2,6651.8
China,,,,,,,,2.04,2.04,2.12,165.68,324.79,487.03,753.67,728.55,793.5,2416.83,5177.41,9112.08,11512.11,14895.63,52710.91,63572.25
Chinese Taipei,,,,,,,,,,,,,,,,,,19.9,19.2,286.6,315.4,518.2,1669.5
Denmark,88.73,87.91,355.82,749.29,895.3,892.58,824.14,971.0,926.48,1275.78,2692.07,3404.61,3471.75,4351.09,5165.43,4832.69,4650.03,5179.77,4630.14,6197.57,6603.09,7592.84,8752.8
Finland,,,,,,,,,,,3.57,9.14,9.81,9.65,9.65,15.79,12.04,101.88,237.78,270.67,305.01,266.83,272.16
Germany,,,,,,,,,,38.0,176.0,577.0,732.0,918.0,1471.0,8284.0,12274.0,17675.0,19467.0,24744.0,27306.0,24374.0,25124.0
Ireland,,,,,80.0,80.0,80.0,80.0,80.0,80.0,80.0,82.0,68.0,78.0,81.0,81.0,81.0,81.0,81.0,81.0,81.0,81.0,81.0
Japan,,,,2.1,2.1,2.1,2.1,19.6,19.6,19.6,44.1,44.1,44.28,86.98,86.98,92.75,105.0,105.0,105.0,105.0,105.0,105.0,105.0
Korea,,,,,,,,,,,,,9.32,9.85,18.66,16.52,65.86,86.34,138.1,130.95,260.51,253.3,235.66
Netherlands,,,,,,,68.2,329.55,595.97,734.8,678.63,801.74,789.26,771.09,748.4,1129.91,2268.99,3699.51,3630.19,3572.86,5483.54,7952.22,8014.59
Norway,,,,,,,,,,5.0,5.0,6.0,5.0,5.0,6.0,7.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
Portugal,,,,,,,,,,,,0.02,3.33,4.51,3.61,4.41,,,,,51.24,51.44,78.18
Spain,,,,,,,,,,,,,,12.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0
Sweden,27.16,63.07,80.59,80.59,56.0,62.0,55.0,107.0,367.0,382.0,420.0,485.0,457.0,468.0,669.0,714.0,608.0,670.0,550.0,606.0,633.0,547.0,550.0
United Kingdom,1.0,5.0,5.0,10.0,199.0,403.0,651.0,783.0,1335.0,1754.0,3059.67,5149.03,7603.17,11471.78,13404.59,17422.74,16405.74,20915.92,26525.2,31975.15,40681.09,35509.54,45019.87
United States,,,,,,,,,,,,,,,0.1,0.18,102.67,102.67,102.67,102.67,144.72,144.72,144.72
Viet Nam,,,,,,,,,,,,,,37.69,37.69,233.18,233.66,181.56,272.88,242.92,221.91,612.65,1657.95
