Region/country/area,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Afghanistan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12
Albania,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Algeria,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,19.24,19.4,19.4,10.0,10.0,8.0,11.0
American Samoa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Andorra,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Angola,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Anguilla,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Antigua and Barbuda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Argentina,35.0,49.36,73.4,77.95,72.44,75.38,69.64,61.59,41.95,36.83,25.35,59.0,822.0,1007.0,619.09,593.0,548.0,611.68,1413.0,4996.87,9412.33,12937.55
Armenia,0.0,0.0,0.0,0.0,0.0,0.0,2.6,2.9,1.9,4.3,7.0,5.6,4.1,3.8,4.0,3.7,1.8,2.1,1.9,3.3,1.9,1.5
Aruba,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.64,106.16,112.24,134.2,148.99,155.61,166.42,134.18,133.05,133.05,133.05,133.05,133.05
Australia,58.0,210.0,364.0,703.0,705.0,885.0,1713.0,2611.0,3093.0,3824.0,5052.0,6085.0,6970.0,7960.0,10252.0,11467.0,12199.0,12597.0,15164.0,17712.0,20396.0,24535.0
Austria,66.75,104.65,139.82,372.28,933.63,1331.28,1752.79,2037.18,2011.26,1954.04,2063.91,1936.2,2462.86,3152.43,3845.68,4840.32,5234.84,6571.51,6030.43,7450.08,6791.53,6740.04
Azerbaijan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1,0.5,0.0,0.0,0.8,2.34,4.6,22.76,22.1,82.7,105.4,96.1,91.4
Bahamas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.79,0.79,0.79,0.79,0.79,0.79,0.79,0.79,0.79,0.79,0.79
Bahrain,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2
Bangladesh,0.0,0.0,0.0,0.0,0.0,0.0,1.58,1.58,2.89,5.08,5.08,5.08,5.08,5.08,5.08,5.08,5.08,5.08,5.08,5.08,5.08,5.08
Barbados,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.06,0.06,0.06,0.06,0.06
Belarus,1.0,1.0,1.29,1.37,1.34,1.2,1.19,1.33,1.32,1.05,1.07,1.27,6.23,7.89,11.09,26.39,74.78,97.0,99.31,177.81,194.0,173.0
Belgium,16.0,37.0,57.0,88.0,141.45,227.0,366.26,491.1,637.01,914.0,1102.0,1603.0,1905.3,2125.0,2399.1,2960.8,3029.4,3650.3,4163.0,4961.3,5844.9,5071.4
Belize,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04
Benin,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bermuda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bhutan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,1.11,1.13,0.0,1.11,0.39
Bolivia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.04,0.04,0.04,8.16,11.45,34.9,60.38,58.84,70.22,64.21,119.62
"Bonaire, Sint Eustatius and Saba",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,1.4,1.5,4.9,26.3,32.5,36.7,41.2,39.66,34.66,31.06,36.66,32.06,24.96,28.76
