Region/country/area,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Afghanistan,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Algeria,,,,,,,,,,,,,,,18.24,0.16,0.0,-9.4,0.0,-2.0,3.0,5.0
Argentina,14.36,24.05,4.54,-5.51,2.94,-5.74,-8.05,-19.64,-5.12,-11.48,33.65,763.0,185.0,-387.91,-26.09,-45.0,63.68,801.32,3583.87,4415.46,3527.55,1228.12
Armenia,,,,,,,0.3,-1.0,2.4,2.7,-1.4,-1.5,-0.3,0.2,-0.3,-1.9,0.3,-0.2,1.4,-1.4,-0.4,0.3
Aruba,,,,,,,,,,89.52,6.08,21.96,14.79,6.62,10.81,-33.25,-2.18,0.0,0.0,0.0,0.0,0.0
Australia,152.0,154.0,339.0,2.0,180.0,828.0,898.0,482.0,731.0,1228.0,1033.0,885.0,990.0,2292.0,1215.0,732.0,398.0,2567.0,2548.0,2684.0,4139.0,4573.0
Austria,37.9,35.17,232.46,561.35,397.65,421.51,284.4,-25.93,-57.22,109.87,-127.71,526.66,689.57,693.25,994.64,394.52,1336.67,-541.08,1419.65,-658.55,-51.49,505.09
Azerbaijan,,,,,,,,,,-1.6,,,,1.54,2.26,18.16,-0.66,60.6,22.7,-9.3,-4.7,-8.1
Bahamas,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bahrain,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bangladesh,,,,,,,0.79,0.87,0.88,0.0,0.0,0.0,0.0,0.0,0.88,0.87,0.0,0.0,0.0,0.0,0.0,0.0
Barbados,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0
Belarus,0.0,0.29,0.08,-0.03,-0.14,-0.01,0.14,-0.01,-0.27,0.02,0.2,4.96,1.66,3.2,15.3,48.39,22.22,2.31,78.5,16.19,-21.0,3.6
Belgium,21.0,20.0,31.0,54.0,85.0,139.0,125.0,146.0,277.0,188.0,501.0,302.3,219.7,274.1,561.7,68.6,620.9,512.7,798.3,883.6,-773.5,629.4
Belize,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bhutan,,,,,,,,,,,,,,,,,0.41,0.03,,,-0.72,0.04
Bolivia,,,,,,,,,,,,,,,3.29,23.46,25.47,-1.54,11.38,-6.01,55.41,320.92
"Bonaire, Sint Eustatius and Saba",,,,,,,,0.7,0.1,3.4,21.4,6.2,4.2,4.5,-1.54,-5.0,-3.6,5.6,-4.6,-7.1,3.8,0.6
Bosnia and Herzegovina,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,102.2,151.0,8.0,120.0,9.0
Brazil,34.0,26.0,0.0,0.0,31.9,144.1,425.78,520.22,55.0,939.0,527.5,2345.55,1528.36,5631.84,9415.45,11863.17,8884.39,6101.88,7510.48,1065.09,15235.27,9345.59
British Virgin Islands,,,,,,,,,,,0.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.92,0.01,0.0,0.0
Bulgaria,,,,,3.59,15.46,26.75,74.96,115.25,444.36,179.73,359.8,152.61,-42.93,120.93,-26.54,79.09,-185.94,-1.13,160.14,-43.57,65.57
Cabo Verde,-0.8,1.91,-0.29,1.06,0.02,0.99,-0.57,-1.36,-0.85,-2.67,13.62,47.42,12.98,6.55,-3.75,-1.88,-8.61,11.91,-6.43,-9.87,9.85,0.0
Cambodia,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Canada,73.0,71.0,418.0,128.0,613.0,906.0,534.0,781.0,2853.0,2083.0,1463.0,1123.0,6782.0,4446.0,4426.0,3966.0,581.0,1957.0,-595.0,2888.0,245.0,847.0
Cayman Islands,,,,,,,,,,,,,,,,,,,1.28,0.0,0.0,0.0
Chad,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
Chile,,0.0,0.0,0.0,0.0,0.0,2.0,29.0,41.0,253.0,6.0,71.0,145.0,889.0,672.0,334.0,1176.56,-37.66,1307.33,707.07,2025.8,1264.9
China,134.0,124.0,166.0,293.0,268.0,1200.0,2897.96,5700.0,13499.92,24007.57,22422.57,31197.77,35278.73,21672.46,25694.65,54799.24,59867.19,57502.07,37707.45,57094.21,151852.45,95776.38
Chinese Taipei,11.0,3.9,7.9,1.5,66.0,184.8,163.4,148.8,198.3,239.7,466.4,-79.2,226.5,-139.5,24.7,-68.1,245.5,-12.3,-84.7,387.9,-254.2,134.3
Colombia,,,,,-1.0,12.98,-13.09,4.03,3.79,-19.14,2.7,13.59,2.77,12.6,-1.85,-17.49,-47.82,40.37,19.88,-53.2,50.34,13.84
Cook Islands (the),,,,0.02,0.0,-0.01,-0.01,,,,,,,,,,,,,,,
Costa Rica,2.8,73.38,-28.89,27.55,-53.97,69.93,-32.44,-42.89,128.03,32.49,55.8,113.91,-43.82,250.19,344.75,67.79,140.38,511.2,-2.53,-336.9,113.85,-204.06
Croatia,,,,,8.0,9.0,15.9,5.0,14.3,84.9,61.9,127.75,188.54,212.68,66.33,217.95,189.75,131.4,131.9,253.4,341.1,76.0
Cuba,,,0.1,0.0,-0.3,0.19,-0.09,7.98,-4.58,8.1,6.1,2.9,1.9,-3.5,1.9,0.0,0.1,22.4,22.49,2.8,1.1,-6.11
Curaçao,63.07,0.0,0.0,0.0,0.0,0.0,0.0,-8.0,0.0,0.0,0.0,7.87,59.14,9.13,-8.41,-17.04,47.9,69.49,-7.44,-38.59,7.99,-9.72
Cyprus,,,,,0.0,0.0,0.0,0.0,0.0,31.37,82.94,70.81,45.56,-48.19,39.01,4.84,-15.25,9.59,17.53,1.84,6.07,-22.21
Czechia,,,2.87,4.98,11.41,28.12,75.7,119.56,43.41,47.42,61.51,18.82,64.7,-3.98,96.07,-75.65,94.08,18.29,90.68,-0.93,-97.55,39.8
Democratic People's Republic of Korea (the),,,,,,,,,0.01,0.02,0.07,0.46,0.01,0.35,0.2,0.19,0.63,0.0,0.0,0.47,0.0,0.0
Denmark,65.82,303.09,290.53,875.99,33.72,-437.56,916.14,-198.48,-556.3,-327.87,1252.22,428.62,-26.01,1140.9,1387.33,-1168.71,1468.53,-328.41,680.44,-225.13,-1265.5,1813.4
Djibouti,,,,,,,,,,,,,,,,,,,,,,0.0
Dominica,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dominican Republic,,,,,,,,,,,,,144.46,0.19,44.91,28.9,65.32,114.5,289.81,319.22,129.51,-55.51
Ecuador,,,,,,,,1.72,0.52,0.24,-0.09,-0.95,54.3,23.04,19.07,-14.85,-10.56,6.86,5.27,-8.43,-15.09,-1.41
Egypt,98.0,34.0,1.0,162.8,155.79,28.41,74.3,211.7,101.0,211.0,337.0,67.5,-303.5,72.0,112.0,614.0,142.0,134.0,655.0,1244.0,1024.0,408.0
El Salvador,,,,,,,,,,,,,,,,,,,,,117.67,3.74
Eritrea,,,,,,,,1.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.55,0.0,0.0,0.0,0.0,0.0
Estonia,,,5.0,2.0,46.0,22.3,14.48,42.67,62.1,81.44,91.67,64.86,95.52,74.64,111.32,-121.0,129.0,-87.0,51.0,157.0,-111.0,-65.0
Ethiopia,,,,,,,,,,,,162.6,164.0,170.3,-27.3,287.01,-4.0,-249.49,315.55,-239.03,208.16,-256.63
Falkland Islands (Malvinas),0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.89,1.8,0.1,0.9,0.5,-0.3,-0.01,0.03,0.9,-0.61,-0.09,-0.17,-0.9,0.19,0.06
Faroe Islands,0.0,0.25,2.44,5.01,2.0,5.0,0.76,-2.76,2.0,-1.4,0.9,-3.7,11.0,12.7,21.3,-3.7,7.6,4.1,-11.2,-5.5,7.0,36.0
Fiji,0.0,0.0,0.0,,,,,1.25,2.61,-0.79,-1.44,1.83,-1.46,-1.08,1.4,-2.04,-1.55,0.48,0.86,-2.28,-0.85,-0.2
Finland,-8.0,-6.0,29.0,27.34,49.6,-14.3,32.77,72.11,16.1,14.13,181.5,12.26,279.53,333.48,1214.05,744.43,1637.32,907.57,153.19,2196.59,289.24,3509.88
France,83.08,134.35,122.16,207.1,367.72,1220.01,1887.53,1624.1,2217.36,2033.42,2426.63,2806.78,958.61,1186.77,4096.82,-39.61,3228.45,3989.16,6123.08,5323.72,-2925.99,884.82
French Polynesia,0.0,0.0,0.0,0.03,-0.03,0.03,0.04,0.2,-0.06,-0.01,-0.16,-0.02,0.0,-0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gambia (the),,,,,,,,,,0.0,1.58,0.0,0.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Georgia,,,,,,,,,,,,,,,,,78.77,-3.5,0.39,6.11,-7.4,4.1
Germany,1104.0,5400.0,3231.0,6932.0,1755.0,3550.0,9183.0,878.0,-2003.0,-1011.0,10910.0,1667.0,871.0,5207.0,15314.0,-4690.0,20368.0,2466.0,10666.0,3646.0,-15001.0,9897.0
Ghana,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Greece,305.0,-105.0,370.0,99.77,145.68,432.9,118.65,424.0,301.0,170.94,601.29,534.93,288.98,-450.56,932.44,524.88,391.09,763.27,966.09,2043.75,1172.88,400.27
Greenland,,,,,,,,,,,,,,,,,,,0.0,0.0,-0.06,0.0
Grenada,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Guadeloupe,8.42,12.77,3.68,-1.61,-7.32,10.27,9.09,4.67,2.43,-10.05,4.05,5.87,5.83,-2.31,-2.59,1.4,-2.28,1.41,10.49,9.98,33.79,4.25
Guam,,,,,,,,,,,,,,,,,0.08,0.0,0.0,0.0,0.0,0.0
Guatemala,,,,,,,,,,,,,,,,107.78,2.99,101.44,11.28,-18.1,11.12,-10.0
