Region/country/area,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Afghanistan,457.94,457.94,457.95,458.32,458.65,461.58,659.96,691.79,591.9,753.83,803.14,682.34,736.15,854.83,967.68,1000.57,1024.91,1042.55,881.79,1220.96,988.26,849.79,737.88
Albania,4594.0,3555.0,3512.0,4885.0,5466.0,5373.0,5431.0,2788.0,3797.0,5201.0,7567.0,4132.0,4725.0,6959.0,4724.44,5895.0,7781.7,4524.98,8552.15,5183.85,5280.9,8921.94,6841.75
Algeria,54.0,69.0,57.4,265.2,251.1,555.26,217.57,226.08,282.71,342.0,172.78,378.22,389.4,98.48,192.6,145.32,72.0,56.0,117.0,152.0,49.6,9.0,16.0
Andorra,80.0,80.0,80.0,80.0,93.0,84.0,70.0,57.0,63.0,62.0,100.0,78.9,76.18,101.78,113.42,85.67,84.36,85.1,114.36,136.62,121.4,78.83,67.2
Angola,900.29,1010.27,1130.25,1230.58,1730.34,2200.3,2540.27,2880.21,3182.13,3335.6,3685.59,4042.92,3839.83,3638.56,5039.93,5039.93,6286.13,8844.17,11322.92,12562.3,13801.67,13801.67,13801.67
Argentina,28749.23,37025.17,35849.91,33811.47,30428.29,33852.41,37837.32,31103.82,31021.48,34485.07,33365.93,31355.33,29009.73,32845.76,32667.49,32267.51,29704.42,31782.76,32289.91,27514.91,23679.06,19657.46,22779.39
Armenia,1261.1,967.7,1657.5,1981.9,2013.6,1772.9,1822.7,1852.5,1797.0,2019.4,2556.1,2488.7,2311.0,2173.4,1992.6,2205.6,2351.4,2269.0,2318.2,2370.9,1778.4,2201.7,2846.2
Australia,16360.0,16563.0,15877.0,16274.0,16110.0,15309.0,15926.0,14339.0,11909.0,11802.0,13502.0,16694.0,13979.0,18116.0,18338.0,13324.0,15021.0,16037.0,15804.0,15602.0,14764.0,14761.0,16297.0
Austria,41835.65,40455.48,40227.0,33214.99,36762.28,37095.14,35656.09,37054.45,38329.49,40896.3,38363.42,34237.17,43847.7,42016.72,41007.24,37156.87,39971.34,38293.75,37637.91,40825.97,41998.03,38751.33,34705.36
Azerbaijan,1534.0,1301.0,2020.0,2469.0,2755.0,3009.0,2518.0,2364.1,2232.2,2308.4,3446.3,2675.8,1821.0,1490.7,1300.0,1637.51,1959.3,1746.4,1768.0,1564.8,1069.5,1277.3,1595.7
Bangladesh,1389.0,1293.0,1226.0,1126.0,1066.0,993.0,946.0,749.0,726.09,607.14,848.31,872.13,882.98,781.49,606.55,802.4,1020.93,1051.23,914.61,812.17,776.69,734.42,710.72
Belarus,27.0,30.0,29.0,28.0,33.0,36.0,35.0,35.0,39.0,44.0,45.0,42.0,70.0,138.0,121.0,107.2,141.94,405.0,324.0,350.53,399.0,370.0,245.2
Belgium,460.0,441.0,360.0,247.0,317.0,288.0,359.0,389.0,410.0,328.0,312.0,196.0,357.0,380.0,292.2,318.4,370.0,270.1,292.3,302.0,266.9,418.1,271.1
Belize,54.47,73.3,70.8,49.15,50.8,70.65,183.49,183.15,211.08,193.78,263.46,244.86,208.86,258.86,256.56,236.16,260.76,282.46,249.96,74.86,242.4,157.59,239.03
Benin,1.63,1.57,1.52,1.69,1.49,0.75,,,0.36,0.24,,,0.35,,,1.13,,0.07,0.07,0.07,0.07,0.07,0.07
Bhutan,1967.88,1931.99,2129.25,2363.07,2439.86,2499.5,3582.21,5540.48,6761.43,6978.89,6997.29,7066.22,6823.39,7549.5,7164.15,7747.1,7958.86,7721.12,6958.64,8645.94,11369.73,10822.29,10771.12
