Region/country/area,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Afghanistan,0.0,0.01,0.37,0.33,2.93,198.38,31.83,-99.89,161.93,49.31,-120.8,53.81,118.68,112.85,32.89,24.34,17.64,-160.76,339.17,-232.7,-138.47,-111.91
Albania,-1039.0,-43.0,1373.0,581.0,-93.0,58.0,-2643.0,1009.0,1404.0,2366.0,-3435.0,593.0,2234.0,-2234.56,1170.56,1886.7,-3256.72,4027.17,-3368.3,97.05,3641.04,-2080.19
Algeria,15.0,-11.6,207.8,-14.1,304.16,-337.69,8.51,56.63,59.29,-169.22,205.44,11.18,-290.92,94.12,-47.28,-73.32,-16.0,61.0,35.0,-102.4,-40.6,7.0
Andorra,0.0,0.0,0.0,13.0,-9.0,-14.0,-13.0,6.0,-1.0,38.0,-21.1,-2.72,25.6,11.64,-27.75,-1.31,0.74,29.26,22.26,-15.22,-42.57,-11.63
Angola,109.98,119.98,100.33,499.76,469.96,339.97,339.94,301.92,153.47,349.99,357.33,-203.09,-201.27,1401.37,0.0,1246.2,2558.04,2478.75,1239.38,1239.37,0.0,0.0
Argentina,8275.94,-1175.26,-2038.44,-3383.18,3424.12,3984.91,-6733.5,-82.34,3463.59,-1119.14,-2010.6,-2345.6,3836.03,-178.27,-399.98,-2563.09,2078.34,507.15,-4775.0,-3835.85,-4021.6,3121.93
Armenia,-293.4,689.8,324.4,31.7,-240.7,49.8,29.8,-55.5,222.4,536.7,-67.4,-177.7,-137.6,-180.8,213.0,145.8,-82.4,49.2,52.7,-592.5,423.3,644.5
Australia,203.0,-686.0,397.0,-164.0,-801.0,617.0,-1587.0,-2430.0,-107.0,1700.0,3192.0,-2715.0,4137.0,222.0,-5014.0,1697.0,1016.0,-233.0,-202.0,-838.0,-3.0,1536.0
Austria,-1380.17,-228.48,-7012.01,3547.29,332.86,-1439.05,1398.36,1275.04,2566.81,-2532.88,-4126.25,9610.53,-1830.98,-1009.48,-3850.37,2814.47,-1677.59,-655.84,3188.06,1172.06,-3246.7,-4045.97
Azerbaijan,-233.0,719.0,449.0,286.0,254.0,-491.0,-153.9,-131.9,76.2,1137.9,-770.5,-854.8,-330.3,-190.7,337.51,321.79,-212.9,21.6,-203.2,-495.3,207.8,318.4
Bangladesh,-96.0,-67.0,-100.0,-60.0,-73.0,-47.0,-197.0,-22.91,-118.95,241.17,23.82,10.85,-101.49,-174.94,195.85,218.53,30.3,-136.62,-102.44,-35.48,-42.27,-23.7
Belarus,3.0,-1.0,-1.0,5.0,3.0,-1.0,0.0,4.0,5.0,1.0,-3.0,28.0,68.0,-17.0,-13.8,34.74,263.06,-81.0,26.53,48.47,-29.0,-124.8
Belgium,-19.0,-81.0,-113.0,70.0,-29.0,71.0,30.0,21.0,-82.0,-16.0,-116.0,161.0,23.0,-87.8,26.2,51.6,-99.9,22.2,9.7,-35.1,151.2,-147.0
Belize,18.83,-2.5,-21.65,1.65,19.85,112.84,-0.34,27.93,-17.3,69.68,-18.6,-36.0,50.0,-2.3,-20.4,24.6,21.7,-32.5,-175.1,167.54,-84.81,81.44
Benin,-0.06,-0.05,0.17,-0.2,-0.74,,,,-0.12,,,,,,,,,0.0,0.0,0.0,0.0,0.0
Bhutan,-35.89,197.26,233.82,76.79,59.64,1082.71,1958.27,1220.95,217.46,18.4,68.93,-242.83,726.11,-385.35,582.95,211.76,-237.74,-762.48,1687.3,2723.79,-547.44,-51.17
Bolivia,207.76,74.26,-215.99,161.69,-184.46,191.07,163.93,-13.07,-11.04,-121.77,173.33,5.21,181.65,-282.04,211.65,-743.2,513.7,378.87,638.27,-308.47,294.63,-385.04
Bosnia and Herzegovina,87.0,87.0,-767.0,1478.0,19.0,-163.0,-1846.0,878.0,1372.0,1787.0,-3639.0,-238.0,3087.0,-1301.0,-398.0,58.0,-1805.0,2628.0,-317.0,-1521.0,2110.0,-1978.0
Brazil,-36527.28,18216.2,19523.8,15180.91,16659.86,11348.69,25209.66,-4458.72,21431.67,12301.84,25043.11,-12990.75,-24350.16,-17552.97,-13696.25,21168.13,-10004.49,18064.62,8905.98,-1495.86,-33562.75,64295.11
Bulgaria,-980.0,465.0,879.0,143.81,1158.62,-84.14,-1383.44,-37.14,639.28,1599.35,-2159.76,306.06,858.58,565.61,1052.96,-1774.46,-1052.23,2318.48,-2217.08,-109.1,1998.81,-1015.93
