Region/country/area,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Zimbabwe,46.45,38.62,44.78,60.68,57.0,52.58,68.58,72.32,76.57,76.34,68.36,58.04,61.21,56.61,56.51,55.09,42.48,53.06,61.73,61.19,62.08,71.26,0.0
Afghanistan,93.54,93.54,93.54,80.63,62.86,63.01,70.9,69.03,66.73,79.65,81.75,74.4,79.8,81.01,85.46,87.58,87.73,86.86,82.82,87.97,87.12,79.48,0.0
Albania,96.15,95.31,93.95,97.86,97.5,98.71,98.32,97.48,100.0,99.98,99.99,98.59,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0
Algeria,0.21,0.26,0.21,0.9,0.8,1.69,0.62,0.61,0.7,0.89,0.38,0.94,1.02,0.49,0.61,0.47,0.61,0.84,1.02,1.03,1.06,0.91,0.0
American Samoa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17,0.9,1.55,1.5,1.52,1.83,4.59,4.75,4.28,3.87,3.89,0.0
Andorra,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,99.1,96.04,96.39,96.61,97.39,93.34,0.0
Angola,55.54,54.84,57.6,56.9,70.06,74.85,75.08,75.33,73.38,64.31,63.92,66.25,55.29,38.45,45.06,44.4,50.56,64.42,69.76,71.87,73.7,73.7,0.0
Türkiye,24.94,19.84,26.25,25.3,30.73,24.54,25.26,19.03,17.35,19.58,26.38,25.33,27.24,28.83,20.89,31.96,32.89,29.35,32.08,43.52,41.85,35.42,0.0
UK,2.64,2.48,2.87,2.67,3.59,4.25,4.56,4.96,5.72,6.81,6.84,9.57,11.33,14.86,19.1,24.66,24.61,29.3,33.06,37.0,43.36,39.76,0.0
USA,8.15,6.74,8.59,8.83,8.57,8.53,9.19,8.32,8.95,10.24,10.06,12.16,11.95,12.58,12.92,13.17,14.74,16.75,16.68,17.47,19.42,19.8,0.0
Uganda,99.93,99.93,99.93,99.93,99.94,89.71,76.74,71.04,70.38,59.71,58.41,63.49,90.62,99.95,97.41,97.47,98.17,93.87,94.42,97.66,98.71,97.84,0.0
