Region/country/area,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Afghanistan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18,0.21,28.37,29.64,32.32,33.32,35.55,39.35,38.56,55.46,65.6,77.79
Albania,0.0,0.14,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.41,0.54,0.77,0.92,1.03,1.19,1.43,1.36,1.2,1.33,22.2,32.26,40.77
Algeria,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,103.12,193.23,192.54,197.73,161.95,339.1,559.71,654.66,678.04,783.11,760.11
American Samoa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27,1.41,2.42,2.36,2.49,3.12,7.74,7.98,7.44,6.83,6.83
Andorra,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.24,0.26,0.51,0.56,0.72,0.94,1.26
Angola,0.0,0.14,0.14,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.05,0.48,0.48,0.49,0.62,0.64,1.96,1.97,2.07
Anguilla,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.11,0.9,1.5,2.47,2.37,2.04,2.68,2.68,2.68
Antigua and Barbuda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16,0.16,0.47,0.47,0.63,0.63,5.36,5.45,6.47,10.25,13.72,16.98,20.25
Argentina,0.07,0.08,0.09,0.1,0.11,0.12,0.13,0.15,0.18,0.12,0.12,1.63,8.17,15.09,15.93,14.82,14.54,16.56,108.29,801.09,1345.85,2203.87
Armenia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17,0.4,19.4,23.6,56.5,163.5
Aruba,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.35,1.14,2.28,5.71,9.66,10.71,10.71,17.3,23.88,23.88,23.88
Australia,38.0,44.0,50.0,59.0,69.0,79.0,91.0,109.0,127.0,160.0,389.0,1391.0,2325.0,3475.0,4010.0,5023.0,6209.0,8071.0,9930.0,14848.0,21034.0,27717.0
Austria,3.23,5.34,9.03,14.69,18.43,21.02,22.39,24.24,30.12,48.92,88.81,174.07,337.48,625.97,785.25,937.1,1096.02,1268.97,1455.13,1702.09,2042.93,2782.6
Azerbaijan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13,0.13,0.13,0.39,0.2,0.2,0.8,2.91,4.57,35.25,37.2,39.3,44.2,47.0,55.2
Bahamas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.15,0.31,0.46,0.62,0.95,1.25,2.47,2.84,3.24,3.32,3.25,3.9,4.56,7.67
Bahrain,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.82,0.82,8.25,8.25,8.25,8.25,8.25,10.0,10.0,11.64
Bangladesh,0.01,0.01,0.07,1.12,1.91,3.4,5.43,9.05,15.21,25.1,44.3,123.64,155.94,194.22,231.86,268.7,226.61,296.82,329.29,383.07,470.28,692.83
Barbados,0.0,0.16,0.16,0.16,0.16,0.31,0.31,0.93,0.93,1.24,1.55,2.64,3.42,4.35,10.1,13.99,14.01,24.35,26.14,39.2,64.0,87.86
Belarus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.84,7.47,28.09,89.0,177.0,181.0,176.0,173.8
Belgium,0.0,0.0,0.0,0.0,0.66,1.34,1.62,6.06,41.39,166.01,560.0,1169.0,2148.0,2644.0,2886.3,3056.5,3095.2,3307.9,3903.4,4252.5,5112.2,5618.1
Belize,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27,0.59,0.64,0.45,0.03,0.61,1.17,9.83,9.75,9.78
Benin,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,2.58,5.34,5.34,5.34,5.34,5.34,2.84
Bermuda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
