Region/country/area,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Afghanistan,457.94,457.94,457.95,458.32,458.65,461.58,659.96,691.79,591.9,753.83,803.32,682.56,764.64,884.6,1000.13,1034.01,1060.58,1082.02,920.86,1276.93,1054.37,928.7,831.88
Albania,4594.0,3555.14,3512.27,4885.27,5466.27,5373.27,5431.27,2788.27,3797.27,5201.41,7567.54,4132.77,4725.92,6960.03,4725.63,5896.43,7783.06,4526.18,8553.49,5206.04,5313.17,8962.71,7002.64
Algeria,54.0,69.0,57.4,265.2,251.1,555.26,217.57,226.08,282.71,342.0,172.88,481.34,582.63,291.02,393.33,359.51,463.5,501.4,814.66,873.05,873.71,813.11,867.11
American Samoa,,,,,,,,,,,,,1.41,2.42,2.36,2.49,6.19,7.74,7.98,7.44,6.55,5.58,4.1
Andorra,80.0,80.0,80.0,80.0,94.0,85.0,74.0,76.0,78.7,81.0,112.7,91.2,87.86,114.68,127.01,99.72,98.78,102.61,135.43,158.88,142.17,96.98,87.56
Angola,900.29,1010.27,1130.25,1230.58,1730.34,2200.3,2540.27,2880.21,3182.13,3335.6,3685.59,4042.92,3839.83,3638.59,5076.38,5082.38,6441.59,9044.78,11523.54,12764.24,14003.62,14003.72,14407.03
Anguilla,,,,,,,,,,,,,0.08,0.11,0.9,1.5,2.47,2.37,2.04,2.68,3.82,3.82,3.82
Antigua and Barbuda,,,,,,,,,,0.16,0.16,0.47,0.47,0.63,0.63,5.36,5.45,6.47,10.25,13.72,16.98,21.83,23.41
Argentina,29383.07,37650.37,36666.16,34733.29,31433.61,34915.67,38838.85,32176.32,32130.37,35606.77,34543.18,32564.76,31023.74,35092.72,34464.37,34244.74,31655.13,33975.83,35347.09,35138.43,36926.12,37308.54,42405.58
Armenia,1261.1,967.7,1657.5,1981.9,2013.6,1772.9,1825.3,1855.4,1798.9,2023.7,2563.1,2494.3,2315.1,2177.2,1996.6,2209.3,2353.37,2271.5,2339.5,2397.8,1836.8,2366.7,3371.5
Aruba,,,,,,,,,,16.64,106.25,112.59,135.34,151.28,161.32,176.08,149.69,143.77,150.4,156.98,156.98,156.98,156.98
Australia,17590.1,18162.1,17874.1,18619.1,18683.1,20103.1,21642.0,21013.0,19726.0,18602.0,21721.0,26273.0,26318.0,32704.0,36112.0,33423.0,37151.0,40207.0,44416.0,51658.0,59545.0,70360.0,83282.0
Austria,43434.63,42232.47,41894.82,35312.93,39772.32,40884.59,40668.77,43177.48,44530.8,47177.24,44998.34,40908.17,51327.83,50491.4,50186.27,47582.04,51082.24,51055.17,50053.51,54633.64,55423.58,52753.66,50432.5
Azerbaijan,1534.0,1301.0,2020.0,2469.0,2755.0,3009.0,2518.0,2364.23,2232.33,2310.63,3447.19,2676.0,1821.2,1626.4,1478.75,1828.48,2191.81,1976.0,2052.2,1910.3,1413.2,1617.1,1945.2
Bahamas,,,6.48,6.48,6.48,6.48,6.48,6.64,6.64,6.79,6.95,7.9,8.22,8.52,9.74,10.11,10.57,10.69,10.77,11.93,13.34,17.63,25.49
Bahrain,,,,,,,,,1.2,1.2,1.2,1.2,1.2,1.2,10.2,10.2,12.2,12.2,12.2,19.2,19.2,40.2,84.2
Bangladesh,1430.96,1326.21,1295.47,1187.1,1108.39,1032.35,997.22,815.25,799.08,662.74,917.16,1034.05,1066.9,1016.82,886.59,1102.33,1269.37,1391.27,1265.6,1226.26,1275.78,1384.17,1591.91
Barbados,0.04,0.19,0.19,0.19,0.19,0.35,0.35,0.97,0.97,1.28,1.59,2.68,3.46,4.39,10.14,14.02,14.07,24.4,26.2,39.26,64.05,87.92,108.43
Belarus,28.0,31.0,30.29,29.37,34.34,37.2,38.59,50.25,73.72,105.12,130.42,138.87,170.38,266.26,254.9,281.1,392.01,754.0,774.31,1012.99,1347.0,1297.6,1275.9
Belgium,1044.0,1075.0,1138.0,1192.0,1496.66,2106.34,2951.62,3486.06,4417.39,5439.01,6630.7,8334.2,10521.6,11731.4,12219.1,14460.6,14260.1,15810.3,17188.7,19483.5,23466.3,22724.7,24435.5
Belize,71.09,88.74,88.09,65.57,68.69,84.62,201.12,201.18,225.8,208.94,341.23,338.9,302.4,336.8,353.97,358.01,375.78,403.01,387.68,247.47,522.43,297.46,420.23
Benin,1.63,1.57,1.52,1.69,1.49,0.75,,,0.36,0.24,,,0.35,,0.56,4.0,3.59,3.97,4.16,5.67,6.99,8.48,11.48
Bhutan,1967.88,1931.99,2129.25,2363.07,2439.86,2499.68,3582.6,5540.86,6761.82,6979.27,6997.68,7066.6,6823.78,7549.89,7164.54,7747.49,7959.95,7722.62,6960.16,8646.33,11371.22,10823.16,10772.03
Bolivia,1936.96,2144.77,2220.25,2004.03,2201.59,2015.62,2206.79,2394.06,2406.48,2415.95,2292.73,2449.6,2468.01,2671.24,2389.43,2681.28,1936.61,2467.17,2967.13,3725.38,3583.01,4161.78,4171.53
"Bonaire, Sint Eustatius and Saba",,,,,,,,0.7,1.4,1.5,4.9,26.3,32.5,36.7,41.2,40.1,37.5,35.4,45.1,41.2,33.0,37.7,37.4
Bosnia and Herzegovina,5094.0,5181.0,5268.0,4501.12,5979.23,5998.35,5835.35,3989.35,4867.35,6239.35,8026.35,4388.15,4150.21,7238.35,5944.11,5547.28,5620.06,3817.8,6550.0,6393.0,4900.0,7186.0,5248.0
Botswana,,,,,,,,,,0.03,0.24,0.29,1.09,2.38,2.89,3.33,5.24,5.47,5.99,5.94,5.94,6.18,6.16
