Region/country/area,2022
China,2625255.97
United States,959231.0
Brazil,594028.29
Canada,449266.0
India,338189.32
Germany,251087.0
Japan,218826.0
Russia,208606.65
Norway,143460.76
Türkiye,137830.49
United Kingdom,135158.99
Viet Nam,134632.62
Spain,122959.5
Sweden,118227.0
France,113895.12
Italy,100478.73
Mexico,83570.02
Australia,83282.0
Venezuela,68537.04
Indonesia,65044.43
Colombia,64729.0
Chile,50548.91
Austria,50432.5
Netherlands,48315.23
Korea,45400.0
Pakistan,44928.4
Paraguay,44122.68
Argentina,42405.58
Lao PDR,39326.77
New Zealand,38717.0
Finland,38668.06
Thailand,38028.76
Poland,37722.89
Switzerland,35987.0
Peru,33106.09
Malaysia,30627.5
Denmark,28518.47
Portugal,27606.49
Egypt,26488.04
Ecuador,25123.93
Belgium,24435.5
Philippines,24148.21
Romania,23608.97
Greece,22446.76
Chinese Taipei,22017.35
Iceland,20122.99
Tajikistan,19878.88
Ukraine,18451.0
Zambia,17367.69
Democratic People's Republic of Korea (the),16752.7
Mozambique,16319.4
Ethiopia,15513.97
DR Congo,15424.47
Iran,15083.98
Angola,14407.03
Kazakhstan,13259.04
Ireland,13071.27
Costa Rica,12619.41
South Africa,12260.64
Uruguay,12049.57
Kyrgyzstan,11928.6
Myanmar,11876.44
Georgia,10888.58
Bhutan,10772.03
Czechia,10766.73
Sudan,10293.14
Nepal,10289.99
Serbia,10009.67
Guatemala,9863.6
Panama,9746.75
Bulgaria,9639.84
Nigeria,9447.2
Kenya,9283.22
Croatia,8950.9
Sri Lanka,8420.44
Ghana,8290.78
United Arab Emirates,7766.2
Hungary,7662.0
Morocco,7236.74
Albania,7002.64
Uzbekistan,6935.8
Cambodia,6704.94
Honduras,6685.1
Israel,6511.22
Zimbabwe,6163.03
El Salvador,6017.4
Slovakia,5822.0
Jordan,5680.37
Uganda,5455.25
Cameroon,5268.99
Bosnia and Herzegovina,5248.0
Dominican Republic,4326.76
Bolivia,4171.53
Slovenia,4069.3
Latvia,3782.63
Tanzania,3424.46
Armenia,3371.5
Iraq,3029.55
Lithuania,3027.0
Guinea,2971.89
Côte d'Ivoire,2875.7
Estonia,2856.15
Saudi Arabia,2839.0
Nicaragua,2828.3
Azerbaijan,1945.2
Kuwait,1901.17
Mali,1890.99
Montenegro,1771.6
Malawi,1756.81
Singapore,1719.26
Oman,1669.52
North Macedonia,1596.24
Bangladesh,1591.91
Namibia,1525.32
Belarus,1275.9
Réunion,1156.78
Congo,1078.66
Puerto Rico,1060.2
Lebanon,1038.18
Luxembourg,1011.29
Gabon,983.09
Papua New Guinea,980.72
Madagascar,939.89
Syria,890.63
Senegal,885.99
Cyprus,883.97
Tunisia,876.0
Algeria,867.11
Suriname,865.93
Afghanistan,831.88
New Caledonia,808.29
Cuba,791.56
Mongolia,759.7
Fiji,725.97
French Guiana,694.05
Kosovo,636.85
Mauritius,601.88
Guadeloupe,571.31
Rwanda,553.96
Jamaica,532.58
Yemen,510.85
Eswatini,484.16
Lesotho,481.53
Greenland,479.41
Moldova,470.53
Belize,420.23
Martinique,396.52
Hong Kong SAR,331.56
Malta,296.96
Burundi,264.09
Sierra Leone,258.83
Mauritania,250.19
French Polynesia,241.97
State of Palestine,234.61
Faroe Islands,226.6
Haiti,204.56
Curaçao,197.51
Burkina Faso,176.53
Aruba,156.98
Cabo Verde,146.02
Qatar,142.75
Central African Republic (the),141.69
Guam,141.24
Liberia,133.56
Equatorial Guinea,127.01
Togo,120.82
Barbados,108.43
Guyana,91.08
Andorra,87.56
Bahrain,84.2
Somalia,72.2
Djibouti,70.0
Samoa,61.2
Maldives,56.2
Eritrea,48.86
Mayotte,44.45
"Bonaire, Sint Eustatius and Saba",37.4
Seychelles,26.3
Bahamas,25.49
Niger (the),24.24
Dominica,23.47
Antigua and Barbuda,23.41
Cayman Islands,23.3
Saint Vincent and the Grenadines,21.55
Chad,20.1
Vanuatu,18.88
United States Virgin Islands,17.84
Benin,11.48
Saint Kitts and Nevis,10.34
Solomon Islands,9.77
Saint Lucia,8.36
Tonga,7.85
Libya,7.79
Cook Islands (the),7.18
Trinidad and Tobago,6.26
Botswana,6.16
Sao Tome and Principe,6.01
Palau,5.81
Kiribati,5.53
Nauru,5.18
Turks and Caicos Islands,5.13
British Virgin Islands,4.95
Gambia (the),4.82
Falkland Islands (Malvinas),4.62
Micronesia (Federated States of),4.48
South Sudan,4.45
Grenada,4.4
American Samoa,4.1
Anguilla,3.82
Turkmenistan,3.15
Guinea-Bissau,2.91
Marshall Islands (the),2.41
Saint Martin (French Part),1.75
Tokelau,1.69
Montserrat,1.61
Tuvalu,1.53
Brunei Darussalam,1.11
South Georgia and the South Sandwich Islands,0.76
Timor-Leste,0.66
Niue,0.47
Saint Barthélemy,0.09
Comoros (the),0.05
