Region/country/area,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Afghanistan,0.0,0.01,0.37,0.33,2.93,198.38,31.83,-99.89,161.93,49.49,-120.76,82.08,119.96,115.52,33.89,26.57,21.44,-161.55,356.07,-222.56,-127.4
Albania,-1038.86,-42.87,1373.0,581.0,-93.0,58.0,-2643.0,1009.0,1404.14,2366.13,-3434.77,593.15,2234.11,-2234.4,1170.8,1886.63,-3256.88,4027.31,-3347.45,107.13,3649.54
Algeria,15.0,-11.6,207.8,-14.1,304.16,-337.69,8.51,56.63,59.29,-169.12,308.46,101.29,-291.61,100.31,-64.82,103.99,204.61,146.55,58.38,0.67,-60.6
American Samoa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27,1.14,1.01,-0.06,0.13,0.63,4.62,0.24,-0.54,-0.61,0.0
Andorra,0.0,0.0,0.0,14.0,-9.0,-11.0,2.0,2.7,2.3,31.7,-21.5,-3.34,26.82,12.33,-27.29,-0.94,3.83,32.82,23.45,-16.71,-45.19
Angola,110.12,119.98,100.33,499.62,469.96,339.97,339.94,301.92,153.47,349.99,357.33,-203.08,-201.23,1437.79,6.0,1359.21,2603.19,2478.76,1240.7,1239.38,0.1
Anguilla,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.03,0.79,0.6,0.97,-0.1,-0.33,0.64,0.0,0.0
Antigua and Barbuda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16,0.0,0.31,0.0,0.16,0.0,4.73,0.09,1.02,3.78,3.47,3.26,3.27
Argentina,8195.3,-960.2,-1687.88,-3367.68,3769.07,3831.17,-6445.53,311.59,3664.36,-1064.03,-1916.06,-1294.09,3955.48,-1184.0,-151.88,-2004.65,2378.57,1158.31,113.46,2029.61,-203.88
Armenia,-293.4,689.8,324.4,31.7,-240.7,52.4,30.1,-56.5,224.8,539.4,-68.8,-179.2,-137.9,-180.6,212.7,144.07,-81.87,68.0,58.3,-561.0,529.9
Aruba,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.64,89.61,6.34,22.75,15.94,10.04,14.76,-26.39,-5.92,6.58,6.59,0.0,0.0
Australia,572.0,-288.0,745.0,64.0,1420.0,1538.9,-629.0,-1287.0,-1124.0,3119.0,4552.0,45.0,6386.0,3408.0,-2689.0,3728.0,3056.0,4209.0,7242.0,7887.0,10815.0
Austria,-1202.17,-337.64,-6581.89,4459.39,1112.27,-215.82,2508.71,1353.32,2646.44,-2178.9,-4090.17,10419.66,-836.43,-305.13,-2604.23,3500.2,-27.07,-1001.66,4580.13,789.94,-2669.92
Azerbaijan,-233.0,719.0,449.0,286.0,254.0,-491.0,-153.77,-131.9,78.3,1136.56,-771.19,-854.8,-194.8,-147.65,349.73,363.33,-215.81,76.2,-141.9,-497.1,203.9
